,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,Strength of Schedule,,,NCSOS,
,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM,
,238,Eastern Illinois,OVC,17-15,-6.36,98.2,104.5,69.1,-0.05,-8.64,99,107.7,-6.08,337
,239,Oakland,Horz,14-19,-6.47,98.6,105,66.1,-0.014,-3.24,101.4,104.6,3.71,61
,240,Jacksonville,ASun,14-18,-6.52,96,102.5,66.6,-0.072,-5.52,99.7,105.2,-2.41,253
,241,George Washington,A10,12-20,-6.54,99.2,105.8,66.6,0.02,0.31,101.8,101.5,-6.19,339
,242,Bucknell,Pat,14-20,-6.68,96.2,102.9,69.5,0.004,-3.13,101.7,104.8,2.63,83
,243,Hartford,AE,18-15,-6.72,94.4,101.1,68.2,0.048,-6.45,99.2,105.7,-5.11,321
,244,Drexel,CAA,14-19,-6.76,100,106.7,67.3,0.002,-2.5,101.8,104.3,-1.01,212
,245,Fordham,A10,9-22,-6.79,89.1,95.9,64.8,-0.1,-2.59,101.2,103.8,-13.52,353
,246,Wyoming,MWC,9-24,-6.79,94.1,100.9,66.7,-0.017,3.99,105.9,101.9,-3.15,277
,247,Lipscomb,ASun,16-16,-6.86,101.2,108,68.7,0.053,-3.92,99.9,103.8,2.56,87
,248,New Hampshire,AE,15-15,-7.11,95,102.1,68.6,0.011,-5.88,99.1,105,-3.57,288
,249,UT Rio Grande Valley,WAC,14-16,-7.32,98.7,106,70.4,-0.013,-3.2,101.5,104.7,4.75,43
,250,Southern,SWAC,17-15,-7.57,97.2,104.8,66.8,0.006,-8.34,96.6,105,6.45,26
,251,Quinnipiac,MAAC,15-15,-7.65,100.7,108.3,68.9,0.028,-6.46,98,104.5,-6.81,343
,252,Louisiana Monroe,SB,9-20,-7.68,96.1,103.7,64.9,-0.056,0.58,103.1,102.5,1.79,111
,253,Utah Valley,WAC,11-19,-7.74,96.5,104.2,70.4,-0.092,-3.73,100.9,104.7,-0.71,201
,254,Norfolk St.,MEAC,16-15,-7.76,94.2,101.9,67.5,-0.052,-9.57,97,106.6,2.04,102
,255,Navy,Pat,14-16,-7.9,98.1,106,62.5,0.018,-5.44,99.7,105.2,-4.06,302
,256,UMBC,AE,16-17,-7.93,97.8,105.7,66.8,0.011,-4.23,99.7,104,-0.17,184
,257,VMI,SC,9-24,-7.96,100.2,108.1,67.9,-0.143,-2.27,102.2,104.5,-6.37,340
,258,Canisius,MAAC,12-20,-7.97,97.7,105.7,70,-0.04,-4.41,99.1,103.5,-0.87,208
,259,Tennessee St.,OVC,18-15,-8.15,96.4,104.6,69.3,0.054,-6.32,99.5,105.8,-0.38,191
,260,Saint Joseph's,A10,6-26,-8.34,101.9,110.2,71.2,0.009,5.48,105,99.5,4.7,45
,261,Purdue Fort Wayne,Sum,14-19,-8.43,95.4,103.8,67.9,-0.006,-2.76,103.7,106.5,-2.54,255
,262,Campbell,BSth,15-16,-8.5,96.8,105.3,65.6,-0.047,-8.04,99.6,107.6,-4.59,313
,263,Cal St. Fullerton,BW,11-20,-8.54,95.9,104.5,69.3,0.01,-1.83,101.5,103.3,2.33,95
,264,Army,Pat,15-15,-8.63,98.8,107.4,69.5,0.046,-6.82,99.9,106.7,-6.73,342
,265,Grand Canyon,WAC,13-17,-8.68,103.4,112.1,68,0.02,-5.37,99.1,104.4,-2.57,259
,266,Cal St. Bakersfield,WAC,12-19,-8.7,96.2,104.9,64.9,-0.063,-3.58,101.9,105.4,2.55,89
,267,LIU,NEC,15-18,-8.71,97.4,106.1,72.8,0.017,-6.28,100.1,106.4,-0.08,182
,268,Loyola MD,Pat,15-17,-8.75,100.4,109.1,71,0.018,-6.87,99.9,106.7,-7.3,345
,269,Manhattan,MAAC,13-18,-8.76,92.8,101.6,65.8,-0.011,-5.62,98.6,104.3,-4.38,307
,270,Northwestern St.,Slnd,15-15,-8.87,98.3,107.1,72.4,0.015,-7.15,100,107.2,5.85,31
,271,Milwaukee,Horz,12-19,-8.89,96,104.9,69.5,-0.015,-5.12,100.6,105.7,-3.09,276
,272,North Carolina Central 16**,MEAC,18-13,-9,94.2,103.2,66.6,0.065,-8.95,97.3,106.3,6.55,25
,273,Weber St.,BSky,12-20,-9.09,98.8,107.9,67.6,0.015,0.04,102.3,102.2,5.18,36
,274,Cornell,Ivy,7-20,-9.1,101.2,110.3,65.2,-0.105,-0.05,101.7,101.8,-0.27,186
,275,UMass Lowell,AE,13-19,-9.15,104.4,113.6,70.3,-0.036,-6.19,97.8,104,-5.29,323
,276,McNeese St.,Slnd,15-17,-9.32,103,112.3,69,-0.039,-6.68,99.2,105.9,7.69,17
,277,Elon,CAA,13-21,-9.35,100.6,110,66.2,-0.013,-2.08,102.2,104.3,1.1,143
,278,Texas Southern,SWAC,16-16,-9.42,99.1,108.6,72.9,0.086,-5.49,97.6,103.1,14.38,2
,279,Southern Miss,CUSA,9-22,-9.44,94.4,103.8,67.2,-0.01,2.47,104.7,102.2,9.01,13
,280,Eastern Kentucky,OVC,16-17,-9.46,95.4,104.9,74.5,0.07,-5.4,99.9,105.3,1.05,146
,281,Jackson St.,SWAC,15-17,-9.55,92.8,102.3,68.7,-0.012,-7.8,97.1,104.9,7.6,18
,282,Albany,AE,14-18,-9.55,94.3,103.9,68.5,0.011,-5.6,99.1,104.7,-4.51,310
,283,Central Arkansas,Slnd,10-21,-9.56,98,107.6,73.2,-0.021,-2.02,101.9,104,12.93,4
,284,North Alabama,ASun,13-17,-9.57,96,105.6,70.1,-0.011,-5.38,99.5,104.9,0.59,161
,285,Jacksonville St.,OVC,13-19,-9.67,95.8,105.5,68.1,-0.078,-8,98.9,106.9,-2.74,265
,286,Portland,WCC,9-23,-9.93,94.4,104.3,69.3,-0.015,1.74,103.7,102,-4.31,305
,287,North Carolina A&T,MEAC,17-15,-10.07,92.3,102.4,73.7,0.068,-8.66,97.1,105.7,4.11,55
,288,Stetson,ASun,16-17,-10.22,98.1,108.3,63.2,0.083,-5.43,99.4,104.8,-2.55,257
,289,Fairleigh Dickinson,NEC,11-19,-10.23,102.1,112.4,68.9,-0.027,-4.93,99.4,104.3,3.47,66
,290,San Jose St.,MWC,7-24,-10.31,97.5,107.8,73.3,0.009,4.69,106,101.3,2.3,97
,291,Idaho St.,BSky,8-22,-10.37,100.8,111.1,67.4,0.008,-0.26,102.4,102.7,4.22,52
,292,Bethune Cookman,MEAC,16-14,-10.39,95.4,105.8,73,0.012,-9.66,96.1,105.7,1.58,122
,293,Troy,SB,9-22,-10.43,96.2,106.6,69.3,-0.027,-0.83,102.3,103.1,-2.74,264
,294,Evansville,MVC,9-23,-10.56,96.9,107.4,67.6,0.015,0.3,103,102.7,-4.81,318
,295,Middle Tennessee,CUSA,8-23,-10.66,97.5,108.2,69.8,0.003,0.97,102.7,101.7,4.27,50
,296,NJIT,ASun,9-21,-11.07,94.7,105.8,66.9,-0.079,-4,100.5,104.5,0.65,158
,297,Long Beach St.,BW,11-21,-11.08,94.2,105.3,70.9,0.08,0.81,102.8,101.9,7.78,16
,298,Mount St. Mary's,NEC,11-21,-11.1,96.4,107.5,63.2,-0.074,-6.02,99.8,105.8,-2.64,261
,299,Columbia,Ivy,6-24,-11.27,95.2,106.5,69.1,-0.13,-0.8,101.6,102.4,-2.23,250
,300,Niagara,MAAC,12-20,-11.54,100.1,111.6,66,0.068,-2.97,99.4,102.3,3.87,60
,301,Fairfield,MAAC,12-20,-11.59,90.1,101.6,63.2,0.045,-4.52,99.6,104.2,-1.19,220
,302,UNC Asheville,BSth,15-16,-11.61,98.7,110.3,71,0.017,-9.29,99.5,108.8,-3.42,283
,303,Texas A&M Corpus Chris,Slnd,14-18,-11.71,94.3,106,65.7,0.029,-6.58,99.6,106.2,0.37,167
,304,Lehigh,Pat,11-21,-11.72,97,108.8,68.4,0.046,-2.26,102.2,104.4,5.4,34
,305,Denver,Sum,7-24,-11.75,95,106.8,70.9,-0.044,-1.67,103.2,104.9,-0.59,197
,306,Detroit,Horz,8-23,-11.84,99.9,111.7,69.3,-0.031,-2.12,101.7,103.8,4.31,49
,307,St. Francis NY,NEC,13-18,-11.9,94.6,106.5,70.3,0.024,-7,98.8,105.8,-5.94,336
,308,Hampton,BSth,15-19,-11.95,104.8,116.7,70.9,0.041,-5.58,99.8,105.4,1.66,116
,309,Grambling St.,SWAC,17-15,-11.99,93.1,105.1,68.7,0.046,-9.04,96.6,105.6,5.03,38
,310,Florida Gulf Coast,ASun,10-22,-12.02,91.2,103.3,66.1,-0.032,-3.89,100.2,104.1,1.03,147
,311,James Madison,CAA,9-21,-12.11,99.5,111.6,72.1,-0.016,-3.35,100.8,104.1,-3.99,299
,312,UNC Wilmington,CAA,10-22,-12.4,92.1,104.5,68.5,0.019,-1.37,103.2,104.5,1.96,106
,313,Cleveland St.,Horz,11-21,-12.83,92.9,105.7,67.1,0.048,-2.37,101.8,104.1,3.41,69
,314,Florida A&M,MEAC,12-15,-12.85,94.4,107.3,68.6,0.1,-6.28,97.9,104.2,8.42,14
,315,Cal Poly,BW,7-23,-13.25,95.2,108.5,68.3,-0.038,-0.34,103,103.3,6.25,27
,316,Morehead St.,OVC,13-19,-13.52,94.6,108.1,67.3,-0.001,-7.49,98.6,106.1,-4.35,306
,317,Marist,MAAC,7-23,-13.59,90.2,103.8,65.2,-0.105,-6.9,97.8,104.7,-8.93,349
,318,Charleston Southern,BSth,14-18,-13.61,95.4,109.1,66.9,0.033,-7.88,99.6,107.5,0.67,157
,319,Longwood,BSth,14-18,-13.82,91.3,105.1,67.8,-0.001,-9.51,98.4,107.9,-6.18,338
,320,Maine,AE,9-22,-13.91,92.9,106.8,65.9,-0.03,-3.08,99.6,102.7,0.48,163
,321,Samford,SC,10-23,-14.01,98.6,112.6,72.8,0.008,0.07,103.5,103.4,0.08,176
,322,Morgan St.,MEAC,15-16,-14.26,93.2,107.5,69.6,0.039,-10.67,96.2,106.9,-0.52,194
,323,Idaho,BSky,8-24,-14.29,92.8,107.1,68.9,-0.023,-1.35,102.2,103.6,-1.61,231
,324,Alcorn St.,SWAC,15-15,-14.36,96.9,111.3,70.1,0.037,-8.46,95.1,103.6,9.06,12
,325,USC Upstate,BSth,13-20,-15.34,95.5,110.8,69.2,0.036,-6.31,100.4,106.7,1.57,123
,326,New Orleans,Slnd,9-21,-15.51,99.3,114.8,69.8,-0.044,-4.21,100.6,104.8,15.78,1
,327,Coppin St.,MEAC,11-20,-15.66,89.6,105.3,73.4,0.038,-7.96,97.5,105.5,2.53,90
,328,IUPUI,Horz,7-25,-16.18,99.4,115.6,70.8,-0.068,-3.07,100.5,103.6,1.27,137
,329,Wagner,NEC,8-21,-16.64,97.3,113.9,67.5,-0.024,-5.43,98.9,104.4,2.13,99
,330,Western Illinois,Sum,5-21,-16.68,98.3,115,71.3,-0.082,-3.06,102.5,105.5,-4.75,316
,331,Tennessee Tech,OVC,9-22,-16.73,92.5,109.3,66.9,0.025,-5.01,100.6,105.6,2.09,101
,332,Alabama St.,SWAC,8-24,-17.19,86.2,103.4,69.7,-0.022,-5.47,98.7,104.2,10.67,9
,333,Binghamton,AE,10-19,-17.22,99.7,116.9,68.6,0.073,-4.46,99.6,104.1,-1.86,241
,334,The Citadel,SC,6-24,-17.25,94.9,112.2,73.7,0.02,0.01,103.2,103.1,-2.59,260
,335,Presbyterian,BSth,10-22,-17.47,96.9,114.4,66.9,0.005,-6.95,99.5,106.4,-2.03,244
,336,Southeastern Louisiana,Slnd,8-23,-17.62,92,109.6,72.1,-0.008,-4.86,100.3,105.2,4.94,40
,337,SIU Edwardsville,OVC,8-23,-17.72,92.3,110,69,-0.034,-5.97,100.5,106.5,-0.36,190
,338,Tennessee Martin,OVC,9-20,-17.82,105.1,122.9,68.7,0.045,-4.8,100.1,104.9,4.71,44
,339,South Carolina St.,MEAC,11-18,-18.29,94.9,113.2,67.4,0.014,-10.23,95.9,106.1,0.68,156
,340,Southeast Missouri St.,OVC,7-24,-19,94,113,67.6,-0.016,-5.99,99.7,105.7,-0.78,205
,341,High Point,BSth,9-23,-19.07,94.5,113.6,66.4,0.035,-5.06,101,106.1,3.44,68
,342,Houston Baptist,Slnd,4-25,-19.38,102.9,122.3,76.1,0.002,-3.12,101,104.1,13.24,3
,343,Alabama A&M,SWAC,8-22,-20.22,87.9,108.2,67.7,0.014,-8.13,96.3,104.5,2.36,94
,344,Holy Cross,Pat,3-29,-21.34,95.9,117.3,68.3,-0.042,-3.21,100.7,103.9,0.04,179
,345,Incarnate Word,Slnd,9-22,-22.46,90.3,112.8,66.1,0.066,-6.92,99.3,106.3,-2.27,251
,346,Delaware St.,MEAC,6-26,-23.11,94.1,117.2,74.7,-0.042,-10.56,95,105.6,-3.21,279
,347,Central Connecticut,NEC,4-27,-23.67,90.3,114,69.5,-0.014,-4.23,100.1,104.3,1.42,129
,348,Arkansas Pine Bluff,SWAC,4-26,-25.63,79,104.6,66.1,-0.008,-4.63,98.7,103.3,12.03,5
,349,Maryland Eastern Shore,MEAC,5-27,-26.14,81.7,107.8,67.5,-0.024,-6.4,97.6,104.1,7.78,15
,350,Howard,MEAC,4-29,-26.15,93.6,119.7,70.2,-0.015,-8.29,96.7,105,0.96,152
,351,Mississippi Valley St.,SWAC,4-27,-27.87,89.8,117.6,77.1,-0.027,-6.01,97.8,103.9,5.14,37
,352,Kennesaw St.,ASun,1-28,-28.71,83.5,112.2,68.2,-0.042,-1.74,102,103.7,4.1,56
,353,Chicago St.,WAC,4-25,-33.99,86.9,120.8,69,-0.029,-3.64,100.6,104.3,-0.75,204
