,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,Strength of Schedule,,,NCSOS,
,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM,
,60,Alabama,SEC,16-15,11.5,111,99.5,74.8,-0.076,7.83,106.9,99.1,3.96,59
,61,Texas,B12,19-12,11.46,104.1,92.6,65.9,0.089,10.04,106.9,96.8,-0.3,187
,62,Saint Louis,A10,23-8,11.41,105.8,94.4,67.6,0.026,1.83,103.1,101.2,-1.72,236
,63,Arizona St. 10*,P12,20-11,11.3,106,94.7,73.2,0.069,8.22,106.4,98.1,2.65,82
,64,Georgia Tech,ACC,17-14,11.26,103.1,91.8,70,-0.006,9.42,107,97.6,4.04,58
,65,Rhode Island,A10,21-9,11.06,105.2,94.2,71.2,0.068,4.64,105,100.4,4.07,57
,66,St. John's,BE,17-15,10.92,106.1,95.2,72.9,-0.037,8.27,106.3,98,-5.52,328
,67,Georgetown,BE,15-17,10.82,111,100.2,70,-0.049,10.86,108.1,97.2,1.5,126
,68,Tennessee,SEC,17-14,10.8,106.6,95.8,65.2,-0.02,8.11,106.2,98.1,2.75,79
,69,South Carolina,SEC,18-13,10.66,105.4,94.7,73.1,-0.023,6.1,105.4,99.3,-0.56,196
,70,Davidson,A10,16-14,10.62,112.5,101.9,64.8,-0.094,3.66,103.1,99.5,2.91,74
,71,Louisiana Tech,CUSA,22-8,10.47,108.7,98.2,66.5,-0.023,-1.65,101.7,103.3,-4.54,312
,72,Clemson,ACC,16-15,10.42,103.9,93.5,66,-0.043,8.15,106.3,98.1,-1.7,235
,73,VCU,A10,18-13,10.29,104.7,94.4,69,-0.064,3.55,104.2,100.6,-1.01,213
,74,San Francisco,WCC,22-12,10.13,108.3,98.2,68.7,-0.006,2.96,104.4,101.5,-1.43,226
,75,Northern Colorado,BSky,22-9,10.12,110.2,100.1,65,-0.035,-2.29,101.1,103.4,1.74,113
,76,Vermont 13**,AE,26-7,10.1,106.5,96.4,66.3,-0.027,-5.44,98.7,104.2,1.8,110
,77,North Texas 13**,CUSA,20-11,9.97,111.2,101.2,62.9,-0.032,1.92,102.5,100.6,6.11,28
,78,UCLA 11*,P12,19-12,9.92,109.3,99.4,64.9,0.047,7.16,105.5,98.3,-0.73,202
,79,Liberty 12*,ASun,30-4,9.68,106.1,96.4,61.5,0.023,-9,98.3,107.3,-5.13,322
,80,Tulsa,Amer,21-10,9.65,103.2,93.6,65.8,0.076,3.19,103.5,100.3,-4.68,315
,81,Furman,SC,25-7,9.59,107.7,98.1,68.2,0.041,-0.81,102.9,103.8,1.74,114
,82,Akron 13**,MAC,24-7,9.54,108.5,98.9,69.4,0.022,-1.21,101.3,102.5,-1.88,242
,83,Boise St.,MWC,20-12,9.4,107,97.6,69.1,0.025,4.28,105,100.7,1.32,135
,84,North Carolina,ACC,14-19,9.36,107.7,98.4,70.4,-0.05,10.39,107.9,97.5,7.39,21
,85,Nevada,MWC,19-12,9.32,110.3,101,71,-0.007,2.68,104.3,101.6,2,104
,86,TCU,B12,16-16,9.31,105.5,96.1,65.1,-0.005,9.71,105.6,95.9,-1.05,214
,87,Oregon St.,P12,18-13,8.93,110.9,102,65.6,-0.002,5.06,104.6,99.5,-5.88,334
,88,SMU,Amer,19-11,8.62,112.4,103.8,64.8,0.004,2.6,102.2,99.6,-4.81,317
,89,Iowa St.,B12,12-20,8.35,109.6,101.2,69.9,-0.092,11.89,107,95.2,2.61,84
,90,Kansas St.,B12,11-21,8.25,102.5,94.2,67.2,-0.129,10.83,106.4,95.5,1.48,127
,91,New Mexico St. 13**,WAC,25-6,8.14,107.6,99.4,63.5,0.06,-4.86,99.7,104.6,1.26,139
,92,UNC Greensboro,SC,23-9,8.12,103.7,95.5,67.8,-0.009,-1.77,102.2,104,-1.46,228
,93,Texas St.,SB,21-11,7.91,106.3,98.3,65.2,-0.05,-0.69,102,102.7,0.28,173
,94,DePaul,BE,16-16,7.9,103.4,95.5,70.6,0.022,10.11,108.1,98,-2.38,252
,95,Duquesne,A10,21-9,7.58,106.6,99,67.8,0.049,0.52,102.8,102.3,-5.04,320
,96,Georgia,SEC,16-16,7.44,108.2,100.8,70.5,-0.017,8.15,106.9,98.7,1.66,117
,97,Missouri,SEC,15-16,7.44,104.1,96.7,66.5,-0.057,7.22,106,98.8,0.12,175
,98,UNLV,MWC,17-15,7.28,107.9,100.6,67,-0.019,3.75,104.6,100.9,1.02,150
,99,Colorado St.,MWC,20-12,7.15,109.3,102.1,69.3,0.045,2.91,104.4,101.5,1.71,115
,100,Stephen F. Austin 12**,Slnd,28-3,7,104.1,97.1,71.8,0.042,-8.13,98.6,106.7,0.55,162
,101,Loyola Chicago,MVC,21-11,6.87,103.7,96.8,65.3,0.006,-0.19,102.4,102.6,-3.32,281
,102,Mississippi,SEC,15-17,6.72,103.7,97,68,-0.042,6.58,106.1,99.5,-3.68,291
,103,Wake Forest,ACC,13-18,6.7,108.7,102,70.1,-0.034,8.52,106,97.4,0.91,153
,104,Miami FL,ACC,15-16,6.39,107.7,101.3,68.3,0.034,9.57,106.3,96.8,1.07,145
,105,Virginia Tech,ACC,16-16,6.33,104.3,98,65.5,-0.04,6.34,105.3,99,-9.83,351
,106,UC Irvine 14*,BW,21-11,6.11,105.4,99.3,67.7,-0.064,-2.29,101.1,103.4,2.91,75
,107,Bradley 14*,MVC,23-11,6.09,106.8,100.7,67.1,0.036,-0.51,101.6,102.2,-4.1,303
,108,Hofstra 14*,CAA,26-8,6.06,108.7,102.6,67.9,0.064,-4.37,101.1,105.5,-4.39,308
,109,Belmont 14*,OVC,26-7,6.02,106.5,100.5,70.5,0.012,-7.08,99,106,-2.73,262
,110,Harvard,Ivy,21-8,5.69,104.7,99,68.8,0.039,-0.95,102,102.9,0.3,168
,111,Pittsburgh,ACC,16-17,5.65,104,98.3,65.5,0.001,7.32,105.4,98.1,-4.01,300
,112,North Dakota St. 15*,Sum,25-8,5.56,106.8,101.2,66,0.032,-3.91,101.8,105.7,-1.84,240
,113,Western Kentucky,CUSA,20-10,5.56,108.9,103.3,68.3,0.023,0.85,102.3,101.4,1.02,149
,114,Utah,P12,16-15,5.56,106.3,100.8,66.7,0.029,8.33,107.1,98.8,2.26,98
,115,Temple,Amer,14-17,5.49,100.1,94.6,70.3,-0.052,6.19,104.8,98.6,2.93,73
,116,Ball St.,MAC,18-13,5.25,99.2,94,68,-0.089,-2.22,101.1,103.4,-4.52,311
,117,UCF,Amer,16-14,4.88,103.5,98.6,67.8,0.002,3.18,103.3,100.1,-3.56,286
,118,Colgate,Pat,25-9,4.73,107.2,102.5,68.5,0.02,-6.14,100.6,106.7,-0.89,209
,119,South Dakota St.,Sum,22-10,4.72,110,105.3,68,-0.022,-4.79,100.7,105.5,-3.54,285
,120,Pacific,WCC,23-10,4.7,103.8,99.1,64.9,0.072,-1.29,101.9,103.2,-7.9,346
,121,Missouri St.,MVC,16-17,4.69,104.8,100.2,68.3,-0.083,0.84,103,102.2,-1.22,222
,122,Indiana St.,MVC,18-12,4.59,105.8,101.2,66.4,0.043,2.19,103.7,101.5,2.74,80
,123,St. Bonaventure,A10,19-12,4.37,106.6,102.2,65.7,0.052,1.24,102.6,101.3,-0.71,200
,124,Eastern Washington 15**,BSky,23-8,4.32,105.4,101.1,73.1,0.121,-1.53,102,103.5,3.14,71
,125,South Florida,Amer,14-17,4.29,100.2,95.9,64.9,-0.047,4.52,103.4,98.9,-2.74,263
,126,Georgia St.,SB,19-13,4.29,105.6,101.4,73,-0.035,0.56,102.7,102.2,4.84,42
,127,Washington St.,P12,16-16,4.22,102.2,98,70.8,-0.002,4.53,103.6,99.1,-8.19,347
,128,Kent St.,MAC,20-12,4.06,106.1,102.1,68.9,-0.011,-1.26,102.1,103.4,-3.61,289
,129,Little Rock 15**,SB,21-10,3.93,106.4,102.5,69.3,0.069,-0.59,102.1,102.7,1.35,134
,130,UT Arlington,SB,14-18,3.87,102.3,98.4,67.7,-0.13,2.34,104.7,102.4,11.6,8
,131,Texas A&M,SEC,16-14,3.77,101,97.2,64.5,0.098,6.1,105.8,99.7,-3.2,278
,132,Northwestern,B10,8-23,3.61,104.9,101.3,66.7,-0.087,11.64,107.5,95.9,-2.56,258
,133,Wright St.,Horz,25-7,3.47,104.9,101.4,72.1,0.033,-6.8,99.7,106.5,-5.49,327
,134,Georgia Southern,SB,20-13,3.39,102.2,98.8,71.8,0.005,-0.35,102.9,103.3,1.11,142
,135,Oral Roberts,Sum,17-14,3.34,108.2,104.9,70.4,-0.103,-0.49,104.4,104.9,12.03,6
,136,Murray St.,OVC,23-9,3.15,102.4,99.3,68.9,-0.03,-7.75,99.1,106.8,-5.57,329
,137,Montana,BSky,18-13,3.08,103.2,100.1,68.2,0.019,-1.01,102.1,103.1,5.25,35
