,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,Strength of Schedule,,,NCSOS
,,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
,,92,,WAC,23-11,7.78,110.8,103,68.1,-0.006,-1.94,102.4,104.4,1.28
,,93,,SC,25-9,7.49,105.3,97.8,67.6,0,-4.19,103.6,107.7,-1.54
,,94,,BE,15-15,7.44,109.7,102.3,70.5,-0.046,6.28,108.4,102.1,-17.81
,,95,,SC,23-10,7.41,108.9,101.5,68.6,-0.005,-4.53,103.1,107.6,-0.73
,,96,,CAA,23-10,7.34,107.8,100.5,67,0.03,-1.27,106.1,107.4,4.09
,,97,,Pat,25-10,7.31,109.5,102.2,71.4,0.006,-4.35,102.8,107.1,5.79
,,98,,P12,21-13,7.09,106.6,99.5,69.8,0.075,4.75,108.3,103.5,-0.46
,,99,,BE,11-20,7.03,104.5,97.5,69.8,-0.103,9.79,111.2,101.5,-4.14
,,100,,P12,16-16,6.99,108.2,101.3,65.5,-0.083,3.02,107.3,104.3,-7.34
,,101,,SB,24-11,6.92,108.8,101.9,66.8,-0.015,-2.51,103.4,105.9,-3.22
,,102,,B10,14-18,6.67,109.6,103,69.9,-0.093,7.32,108.1,100.8,-3.19
,,103,,B12,13-18,6.58,109.9,103.4,68.9,-0.009,10.71,110.5,99.7,-3.06
,,104,,BSky,26-12,6.55,107.3,100.8,72.2,-0.023,-1.73,104.4,106.1,1.38
,,105,,CUSA,25-11,6.53,109.4,102.9,74.7,0.06,0.07,105.6,105.5,-7
,,106,,MWC,19-15,6.52,113.3,106.8,71.3,-0.022,2.7,105.9,103.2,1.41
,,107,,MWC,20-13,6.44,111.4,104.9,72.3,-0.012,0.86,106,105.1,-5.02
,,108,,SEC,12-20,6.42,111.1,104.7,70,-0.053,9.62,109.7,100,0.9
,,109,,CUSA,20-13,6.32,109.6,103.3,67.7,-0.047,-0.93,104.5,105.4,-6.96
,,110,,Amer,19-12,6.02,108.3,102.3,67.3,0.029,0.68,105.5,104.8,-2.04
,,111,,Amer,19-13,5.62,98.9,93.2,64.5,0.062,2.52,106.5,104,-2.5
,,112,,Slnd,28-7,5.58,104.5,99,71.1,0.031,-7.16,100.6,107.8,-2.26
,,113,,MAC,23-11,5.31,113.9,108.6,68.4,0.049,-1.94,103.9,105.8,-1.81
,,114,,P12,17-15,5.27,104.9,99.6,67.8,0.068,6.26,110.1,103.8,-0.09
,,115,,CAA,26-8,5.16,108.7,103.6,64.9,0.035,-4.06,104.8,108.9,-7.64
,,116,,A10,16-16,5.15,105.6,100.5,70.5,-0.052,0.77,105.3,104.6,2.17
,,117,,B10,15-17,5.08,108.7,103.7,69.8,-0.02,6.85,108.8,101.9,-5.09
,,118,,MWC,20-13,4.99,105.6,100.6,73.5,0.068,3.44,107.2,103.8,2.31
,,119,,ACC,13-19,4.9,103.6,98.7,66.1,-0.022,8.11,108.8,100.6,-5.51
,,120,,MVC,18-15,4.81,108.3,103.5,65.5,-0.046,1.05,103.9,102.9,-3.02
,,,,,,,,,,,Strength of Schedule,,,NCSOS
,,Rk,,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
,,121,,WAC,22-12,4.53,102.1,97.5,69,-0.066,-6.92,100,106.9,-11.37
,,122,,MVC,16-16,4.51,103.2,98.7,62.7,-0.032,4.58,106.8,102.2,6.04
,,123,,BW,23-9,4.27,111.4,107.1,66.7,0.034,-3.86,101.8,105.7,-0.86
,,124,,MVC,20-13,3.98,104.4,100.4,65.8,0.042,1.07,104.7,103.6,-4.52
,,125,,Ivy,24-9,3.69,103.1,99.4,68.9,0.076,-4.15,103.7,107.8,-2.98
,,126,,BSky,22-9,3.54,109.2,105.6,65.6,0.039,-3.98,103.1,107.1,-3.07
,,127,,ASun,23-12,3.47,107.5,104,71.6,-0.059,-6.95,102.4,109.3,-0.65
,,128,,SB,21-13,3.37,105.5,102.1,72.8,0.009,-1.37,104.2,105.5,-1.2
,,129,,BW,22-11,3.25,104.1,100.9,66.5,0.041,-1.05,103.7,104.8,4.12
,,130,,B10,15-19,3.07,99.2,96.2,66,-0.043,5.58,108.2,102.6,-14.27
,,131,,MAAC,21-12,3.05,107.2,104.1,68.9,-0.034,-4.82,102.4,107.2,-2.89
,,132,,WCC,20-14,3.01,103.6,100.6,66.9,-0.014,-0.77,104.5,105.2,-2.63
,,133,,Horz,25-10,2.89,100.6,97.7,68.3,0.074,-3.79,102.7,106.5,2.23
,,134,,MVC,17-15,2.85,99.3,96.5,65.7,0.015,1.38,105.4,104,-3.48
,,135,,MVC,20-13,2.82,106.1,103.3,66.6,0.073,1.27,104.5,103.3,-4.09
,,136,,BSky,20-15,2.67,107.3,104.6,66.5,-0.004,0.11,105.4,105.2,6.2
,,137,,MAAC,20-14,2.63,110,107.3,70.7,-0.008,-2.12,103.1,105.2,2.14
