,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W - L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
252,Youngstown St.,Horz,7-21,-8.15,103.5,111.7,63.8,-0.108,-0.85,103.8,104.7,-3.83
253,Quinnipiac,NEC,12-16,-8.19,98.6,106.8,69.9,-0.021,-6.83,99.1,105.9,-6.85
254,Wagner,NEC,13-14,-8.48,97.4,105.8,65.3,0.009,-7.09,98.8,105.9,-5.94
255,Harvard,Ivy,13-14,-8.51,96.8,105.3,69.1,0.016,-7.25,98.2,105.4,-4.13
256,Sacred Heart,NEC,11-17,-8.57,97.6,106.2,65.5,-0.039,-6.71,99.8,106.5,-3.14
257,American,Pat,12-17,-8.62,98.5,107.1,63.7,0.019,-4.39,99.4,103.8,0.15
258,Charleston Southern,BSth,13-16,-8.67,99.6,108.3,65.6,0.007,-4.54,101.6,106.2,2.05
259,Yale,Ivy,15-14,-8.72,96,104.7,68.4,0.069,-7.79,97.7,105.5,-5.38
260,Bowling Green,MAC,9-21,-8.79,97.5,106.3,66.4,-0.012,2.2,104,101.8,1.98
261,Eastern Kentucky,OVC,14-16,-8.9,105,113.9,63.2,0.042,-4.44,102,106.5,2.97
262,Cal St. Northridge,BW,11-17,-9.16,95.6,104.8,69.3,0.038,-2.45,102.8,105.2,-2.91
263,Gardner Webb,ASun,17-12,-9.19,100.4,109.6,62.7,0.159,-7.38,100.4,107.8,9.37
264,Eastern Michigan,MAC,7-21,-9.34,100,109.4,65.4,-0.041,-1.52,101.9,103.4,-3
265,Princeton,Ivy,12-15,-9.35,97,106.4,52.9,0.065,-4.45,99.1,103.5,1.81
266,UMBC,AE,10-19,-9.49,101.1,110.6,65,-0.04,-5.32,100,105.3,-0.46
267,St. Francis NY,NEC,10-17,-9.51,93.1,102.7,64.9,-0.005,-5.65,100.5,106.2,1.1
268,Alabama A&M,SWAC,13-13,-9.65,94.5,104.1,73.4,-0.04,-11.93,94.2,106.1,16.53
269,Jackson St.,SWAC,15-17,-10.25,95.7,106,70.3,0.008,-9.43,95.8,105.2,3.35
270,Oakland,MCon,11-18,-10.34,103.9,114.3,67.8,-0.015,-3.83,102.4,106.2,2.97
271,Hampton 16,MEAC,16-16,-10.4,91.9,102.3,68.5,-0.057,-14.27,93.3,107.6,-8.98
272,East Carolina,CUSA,8-20,-10.62,95.6,106.3,63.3,-0.031,-1.39,100.4,101.8,-2.39
273,UNC Greensboro,SC,12-19,-10.86,99.5,110.3,65.6,0.004,-4.06,101,105.1,0.88
274,FIU,SB,8-20,-10.88,89.6,100.5,65.7,0.009,0,104.4,104.4,3.21
275,South Carolina St.,MEAC,14-16,-11.06,92.4,103.4,64.4,0.05,-8.48,97.3,105.8,7.21
276,IPFW,ind,10-18,-11.07,97,108,62.8,-0.004,-1.56,102.4,103.9,5.14
277,New Hampshire,AE,12-17,-11.16,98.2,109.3,58.7,0.065,-5.32,100.4,105.7,-1.5
278,Southern Miss,CUSA,10-21,-11.24,97.4,108.6,59.9,0.003,1.82,102.4,100.5,0.88
279,UMKC,MCon,14-14,-11.28,102.1,113.4,65.6,0.119,-6.2,101.2,107.4,-2.81
280,Coppin St.,MEAC,12-18,-11.81,95.4,107.2,65.6,0.047,-6.25,97.8,104.1,16.38
281,Stetson,ASun,14-18,-11.9,95.6,107.5,62.7,0.026,-9.58,99.5,109,-1.16
282,LIU Brooklyn,NEC,12-16,-11.97,97.1,109.1,67.5,0.048,-7.47,99.2,106.7,-7.36
283,Louisiana Monroe,Slnd,10-18,-12.19,92.8,105,64.8,0.014,-0.51,103.2,103.7,10.08
284,Arkansas Pine Bluff,SWAC,13-16,-12.43,85,97.5,66.7,-0.04,-11.48,95.3,106.8,3.24
285,Campbell,ASun,10-18,-12.59,101,113.6,75,-0.042,-9.58,99.3,108.9,-2.1
286,Colgate,Pat,10-19,-12.61,92.6,105.2,62.2,-0.046,-6.79,98.2,105,-5.38
287,UC Davis,ind,8-20,-12.64,98.6,111.2,62.5,-0.005,-2.22,102.8,105,-1.77
288,Norfolk St.,MEAC,13-18,-13.1,90.9,104,65.2,0.017,-9.31,96.6,105.9,9.35
289,Idaho,WAC,4-25,-13.12,97.8,110.9,61.6,-0.064,4.16,105.2,101,1.47
290,Alabama St.,SWAC,12-18,-13.52,94,107.5,66.1,0.046,-8.93,97.2,106.1,4.97
291,Florida A&M,MEAC,14-17,-13.66,97.8,111.5,66.7,0.058,-8.95,95.6,104.6,9.14
292,Lafayette,Pat,11-17,-13.77,97.5,111.3,67.9,0.023,-4.42,99.5,103.9,0.69
293,Maine,AE,12-16,-13.93,95.3,109.2,65.4,0.029,-6.37,99.1,105.5,-5.41
294,Bethune Cookman,MEAC,15-15,-14.02,95.3,109.3,66.4,0.085,-11.65,94.5,106.2,2.58
295,UNC Asheville,BSth,9-19,-14.03,97,111.1,67.5,0.06,-1.28,103.7,105,10.17
296,Brown,Ivy,10-17,-14.18,91.3,105.5,63.8,0.038,-7.85,98.4,106.2,-6.54
297,Columbia,Ivy,11-16,-14.65,97,111.7,64.7,0.068,-8.1,97.6,105.7,-7.06
298,Western Illinois,MCon,7-21,-14.8,94.8,109.6,65.1,-0.01,-3.65,103.3,106.9,2.8
299,South Dakota St.,ind,9-20,-15.04,91.6,106.7,67.2,0.067,-0.24,104.2,104.4,5.19
300,Central Michigan,MAC,4-24,-15.05,89.1,104.1,66.3,-0.045,0.23,102.8,102.6,-1.33
301,Duquesne,A10,3-24,-15.17,99.7,114.9,67.1,-0.06,1.75,104.3,102.6,-2.92
302,Northern Colorado,ind,5-24,-15.43,100.3,115.8,65.1,-0.129,-1.39,101.5,102.9,2.89
303,UC Riverside,BW,5-23,-15.5,90.6,106.1,70.2,0.004,-1.31,103.3,104.6,-1.25
304,Navy,Pat,10-18,-15.56,93.7,109.2,69.8,-0.03,-7.57,97.2,104.8,-9.24
305,Grambling St.,SWAC,14-13,-15.7,91.7,107.4,67.6,0.136,-11.5,93.6,105.1,8.92
306,Dartmouth,Ivy,6-21,-15.87,94.8,110.7,62.3,-0.053,-6.69,98.8,105.5,-4.13
307,Nicholls St.,Slnd,9-18,-15.91,96.8,112.7,69.1,0.06,-3.91,100.7,104.6,1.83
308,Kennesaw St.,ASun,12-17,-16.02,97.8,113.8,65.3,0.066,-8.91,99.7,108.6,2.04
309,Southeast Missouri St.,OVC,7-20,-16.32,93,109.3,64.6,-0.028,-5.69,101.2,106.9,-1.82
310,Alcorn St.,SWAC,8-20,-16.39,93,109.4,68.4,-0.004,-7.57,96.6,104.1,8.98
311,James Madison,CAA,5-23,-16.74,96.5,113.2,66.2,0.013,0.88,103.4,102.5,-4.13
312,Longwood,ind,10-20,-16.79,96.9,113.6,71.1,0.016,-7.16,98.4,105.5,-4.95
313,Stony Brook,AE,4-24,-16.88,92.2,109.1,64.5,-0.04,-2.48,101.3,103.8,8.13
314,Eastern Illinois,OVC,6-21,-16.96,92.1,109,61.1,-0.022,-5.19,102,107.1,-1.26
315,Howard,MEAC,7-22,-17.28,93.6,110.9,66.1,-0.086,-10.81,95.8,106.6,1.46
316,VMI,BSth,7-20,-17.85,91.6,109.5,71,-0.05,-6.14,101.2,107.3,-4.19
317,Centenary,MCon,4-23,-18.67,94.1,112.7,66.3,-0.032,-3.56,103.2,106.7,1.75
318,Mercer,ASun,9-19,-18.73,97.1,115.8,67.3,0.002,-11.04,98.3,109.3,-9.96
319,Texas Southern,SWAC,8-22,-19.15,92.2,111.3,69,-0.042,-7.16,97.1,104.3,14.82
320,North Carolina A&T,MEAC,6-23,-19.52,86,105.6,66.9,-0.043,-9.13,97,106.1,4.79
321,Texas St.,Slnd,3-24,-19.94,93.1,113,65.5,-0.049,-3.62,100.9,104.5,0.3
322,Mississippi Valley St.,SWAC,9-19,-20.03,93.9,113.9,61,0.06,-9.26,95.8,105.1,7.76
323,Liberty,BSth,7-23,-20.15,91.2,111.3,65,0.004,-3.79,102.1,105.9,-0.69
324,North Florida,ASun,6-22,-21.22,94.5,115.7,65.5,-0.093,-10.68,98.3,108.9,-7.28
325,Maryland Eastern Shore,MEAC,7-22,-21.28,90.7,112,69.6,0.007,-10.64,95.2,105.8,0.41
326,St. Francis PA,NEC,4-24,-21.49,93.9,115.4,60.5,-0.021,-4.9,100.5,105.4,0.03
327,Texas Pan American,ind,7-24,-21.53,88.4,110,65.5,-0.045,-1.98,102.1,104.1,3.29
328,Morehead St.,OVC,4-23,-21.58,91.1,112.7,63.9,-0.068,-4.59,101.8,106.4,1.69
329,Jacksonville,ASun,1-26,-22.53,93.2,115.7,72.1,-0.084,-6.87,100.7,107.6,7.28
330,The Citadel,SC,10-21,-24.46,91,115.4,64.8,0.042,-7.49,99.4,106.9,-13.27
331,Army,Pat,5-22,-26.5,87.9,114.4,60.4,-0.028,-6.81,97.8,104.6,-9.89
332,Prairie View A&M,SWAC,5-24,-27.79,86.9,114.6,71.3,-0.066,-9.93,95.8,105.7,2.1
333,Morgan St.,MEAC,4-26,-31.06,79.4,110.5,65.1,0.02,-8.67,97.1,105.8,6.21
334,Savannah St.,ind,2-28,-38.11,80.4,118.6,67.7,-0.007,-4.43,100.2,104.7,-3.72
