									Strength of Schedule			NCSOS
Rk	Team	Conf	W - L	AdjEM	AdjO	AdjD	AdjT	Luck	AdjEM	OppO	OppD	AdjEM
59	Florida St. 3	ACC	19-15	12.26	108.7	96.4	64.8	-0.035	8.51	108.4	99.9	-1.4
60	Dayton 3	A10	23-11	12.08	111.8	99.7	61.6	0.055	5.31	106.5	101.2	-0.78
61	UAB 5	CUSA	23-11	12.07	110.7	98.6	66.8	0.017	2.74	104.3	101.6	-1.59
62	Southern Illinois 4	MVC	18-15	12.04	105.7	93.7	61.1	-0.033	7.38	107.4	100	8.06
63	Maryland 5	ACC	19-15	11.99	107.1	95.1	69.9	-0.044	7.39	106.6	99.2	-2.75
64	Utah	MWC	18-15	11.94	110.2	98.3	62.9	-0.111	5.24	106	100.8	2.23
65	South Alabama 10	SB	26-7	11.8	112.6	100.8	64.8	-0.002	-2.07	103.1	105.2	0.9
66	IUPUI	Sum	26-7	11.68	116.5	104.8	60.9	-0.019	-3	102.9	105.9	-1.34
67	California 4	P10	17-16	11.51	115.8	104.3	67.8	-0.013	10.85	109.2	98.4	-2.47
68	VCU 4	CAA	24-8	11.45	104.7	93.2	63.6	-0.041	-1.67	102.4	104	2.99
69	Washington	P10	16-17	11.36	109.7	98.4	68.6	-0.07	9.1	108.7	99.6	-1.56
70	Minnesota 4	B10	20-14	11.34	108.4	97.1	65.1	-0.025	5.28	105.5	100.2	-6.47
71	Houston	CUSA	24-10	11.28	114.2	102.9	69.1	-0.044	-0.9	102.2	103.1	-8.84
72	Rhode Island 6	A10	21-12	11.2	115.1	103.9	69.6	-0.059	3.5	105.7	102.2	-1.83
73	Wake Forest	ACC	17-13	10.82	107.7	96.9	68.8	-0.016	6.85	106.2	99.3	-4.68
74	Creighton 3	MVC	22-11	10.8	108.7	97.9	65.5	0.049	5.22	106.1	100.8	-2.82
75	Oklahoma St. 5	B12	17-16	10.78	109.1	98.4	64.2	-0.03	9.94	108.6	98.6	-0.76
76	Akron 6	MAC	24-11	10.48	110.9	100.4	62.8	-0.009	0.39	103	102.6	-4.22
77	Oral Roberts 13	Sum	24-9	10.27	104.7	94.5	63.6	0.032	-0.01	105.4	105.4	8.75
78	Kentucky 11	SEC	18-13	10.01	107.8	97.8	62.4	0.01	6.74	107.4	100.7	-3.13
79	Duquesne	A10	17-13	9.97	108.9	99	73.4	-0.086	1.74	105	103.2	-3
80	George Mason 12	CAA	23-11	9.68	110.7	101	61.6	-0.01	-0.57	102.6	103.2	2.28
