,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W - L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
254,Florida A&M 16,MEAC,21-14,-9.57,100.6,110.2,67.6,0.104,-10.39,97.7,108,10.61
255,Arkansas Little Rock,SB,13-17,-9.73,100.4,110.1,63,0.041,-4.88,103,107.8,1.38
256,Centenary,MCon,10-21,-9.83,99.6,109.4,67.1,-0.007,-1.98,104.8,106.7,-2.24
257,Harvard,Ivy,12-16,-9.9,103.4,113.3,71.1,0.089,-4.15,101.4,105.6,-2.76
258,Fairleigh Dickinson,NEC,14-16,-9.9,101.5,111.4,68.7,0.064,-6.97,100.9,107.9,-0.81
259,Army,Pat,15-16,-9.95,92.7,102.6,63,0.056,-5.81,100.2,106,-6.98
260,Monmouth,NEC,12-18,-9.99,99.5,109.5,62.7,-0.013,-6.46,101.1,107.6,1.25
261,UT Arlington,Slnd,13-17,-10.06,101.2,111.3,69.9,0.045,-5.15,100.6,105.7,-0.53
262,Manhattan,MAAC,13-17,-10.08,96.8,106.9,66.5,0.076,-5.93,101.3,107.3,-4.07
263,Kennesaw St.,ASun,13-18,-10.17,99.3,109.5,65.1,-0.036,-8.35,98.9,107.2,-3.98
264,Texas Pan American,ind,14-15,-10.43,101.8,112.2,64.1,0.015,-6.16,100.8,106.9,-4.43
265,Maine,AE,12-18,-10.46,99.5,109.9,66.1,0.008,-4.63,101.5,106.1,-0.56
266,Navy,Pat,14-16,-10.55,95.5,106,64.8,0.032,-5.69,99.5,105.2,-6.73
267,McNeese St.,Slnd,15-17,-10.58,90.5,101.1,65.5,0.1,-4.01,102.3,106.3,1.75
268,Campbell,ASun,14-17,-10.63,99.6,110.2,73,-0.012,-8.23,99.3,107.5,-3.6
269,Princeton,Ivy,11-17,-10.68,92.5,103.1,51.6,-0.007,-5.64,101.8,107.4,-5.75
270,UMBC,AE,12-19,-10.81,99.5,110.3,61.6,0.016,-4.15,101.4,105.6,-0.71
271,Louisiana Lafayette,SB,9-21,-10.85,98.4,109.3,65.5,-0.046,-3.61,103.4,107,3.83
272,Nicholls St.,Slnd,8-22,-10.94,102.7,113.6,69,-0.019,-0.44,104.1,104.5,9.88
273,Montana St.,BSky,11-19,-11.13,97.6,108.7,65,-0.007,-3.69,103.6,107.3,-0.78
274,Portland,WCC,9-23,-11.21,94.9,106.1,63.7,0.01,0.42,105.3,104.9,0.06
275,Central Arkansas,Slnd,10-20,-11.51,95.4,106.9,63.7,-0.049,-4.35,101.8,106.1,1.29
276,Elon,SC,7-23,-11.8,97.3,109.1,63.3,-0.052,0.32,105.1,104.8,8.97
277,Stony Brook,AE,9-20,-11.89,92.9,104.8,64.5,-0.061,-6.04,100.9,106.9,-4.74
278,Richmond,A10,8-22,-11.97,99.4,111.4,59.2,0.032,-0.73,104.4,105.1,-2.65
279,St. Francis NY,NEC,9-22,-12.23,93.3,105.6,65,-0.023,-5.54,102,107.5,2.71
280,Gardner Webb,ASun,9-21,-12.24,97.3,109.5,63.6,-0.05,-2.92,102.5,105.4,13.01
281,Morehead St.,OVC,12-18,-12.27,97.8,110.1,63.5,-0.048,-8.57,100,108.5,-6.21
282,Tennessee St.,OVC,12-20,-12.31,97.6,109.9,64.5,0.015,-5.65,101.7,107.3,3.73
283,North Carolina A&T,MEAC,15-17,-12.6,96.1,108.7,70.9,-0.014,-11.87,97.4,109.3,1.45
284,FIU,SB,12-17,-12.61,95.1,107.7,66.8,0.09,-4.34,103.6,107.9,0.71
285,Colgate,Pat,10-19,-12.77,91.6,104.4,61.6,0.03,-4.85,100,104.9,-4.53
286,South Carolina St.,MEAC,13-17,-12.92,95.6,108.5,64.5,0,-11.53,97.6,109.1,-0.35
287,Morgan St.,MEAC,13-18,-13.15,97.3,110.4,66.4,-0.036,-12.27,97.3,109.6,-4.26
288,Wagner,NEC,11-19,-13.16,98.2,111.4,68.2,-0.02,-8.18,100.6,108.7,-4.86
289,Radford,BSth,8-22,-13.6,95.1,108.7,69.6,-0.064,-4.14,102.3,106.4,-1.57
290,New Hampshire,AE,10-20,-13.67,97,110.6,60.1,0.024,-5,101.2,106.2,-3.58
291,Sacramento St.,BSky,10-19,-13.74,95.1,108.8,74.8,0.029,-2.55,105.2,107.7,3.23
292,James Madison,CAA,7-23,-13.74,102.2,115.9,63,0.02,-1.46,103.9,105.3,-7.02
293,Dartmouth,Ivy,9-18,-14.04,94.2,108.2,63.9,0.026,-5.35,100.8,106.2,-5.9
294,Jacksonville St.,OVC,9-21,-14.11,97.7,111.8,65.2,-0.011,-7.6,101.3,108.9,-2.49
295,Delaware,CAA,5-26,-14.22,96.8,111,63.5,-0.059,-1.29,104.2,105.5,-3.26
296,Southeast Missouri St.,OVC,11-20,-14.4,99.3,113.7,71,0.032,-6.55,101,107.6,1.26
297,St. Bonaventure,A10,7-22,-15.3,98.6,113.9,68,0.016,-2.17,104.1,106.3,-5.61
298,Mercer,ASun,13-17,-15.3,96.6,111.9,71.9,0.042,-8.21,99.4,107.6,-4.35
299,Idaho,WAC,4-27,-15.54,94.3,109.9,66.2,0.024,2.43,105.5,103,-0.96
300,Arkansas Pine Bluff,SWAC,12-19,-15.54,88.7,104.3,64.1,0.014,-9.4,96.5,105.8,13.56
301,Coppin St.,MEAC,12-20,-15.69,93.6,109.3,65.1,0.063,-5.98,100.4,106.4,15.97
302,East Carolina,CUSA,6-24,-15.71,92.8,108.5,63.6,-0.022,1.74,104.2,102.4,-0.28
303,Eastern Illinois,OVC,10-20,-15.74,94.7,110.5,63.2,-0.009,-7.9,100.6,108.4,-3.4
304,Southern,SWAC,10-21,-15.77,89.2,105,66.4,-0.029,-10.22,96.4,106.6,6.13
305,St. Francis PA,NEC,8-21,-15.79,98.5,114.3,64.5,-0.064,-8.29,101,109.3,-4.47
306,UC Riverside,BW,7-24,-15.84,93.9,109.7,66.2,-0.057,-3.35,102.6,106,-4.81
307,LIU Brooklyn,NEC,10-19,-15.92,96.2,112.1,67.3,0.024,-8.3,100.4,108.7,-4.74
308,Stetson,ASun,11-20,-16.38,97.2,113.6,65.1,0.048,-5.84,100.2,106.1,2.74
309,Texas St.,Slnd,9-20,-16.42,97.9,114.3,75,-0.022,-5.71,101.5,107.3,-4.66
310,Lafayette,Pat,9-21,-16.67,98.7,115.4,67.3,0.032,-2.81,100.6,103.4,-1.19
311,Northern Colorado,BSky,4-24,-16.8,94.9,111.7,67.4,-0.079,-4.07,103.1,107.2,-1.58
312,Tennessee Martin,OVC,8-23,-16.96,94.3,111.3,66.6,-0.06,-7.16,100.7,107.9,-1.75
313,Western Illinois,MCon,7-23,-17.19,92.7,109.9,63.9,-0.064,-4.6,102.9,107.5,-8.44
314,Saint Peter's,MAAC,5-25,-17.22,88.9,106.1,63.9,-0.091,-7.85,101,108.9,-10.15
315,Grambling St.,SWAC,12-14,-17.66,93.9,111.6,67.3,0.049,-12.99,93.3,106.3,12.6
316,UTSA,Slnd,7-22,-17.66,86.7,104.4,63.3,-0.031,-3.61,102.9,106.5,1.22
317,Alabama St.,SWAC,10-20,-17.83,91.1,109,63.9,-0.009,-11.32,95.6,106.9,4.68
318,UC Davis,ind,5-23,-18.08,93.3,111.4,69.1,0.02,-2.85,103.2,106,-3.5
319,South Dakota St.,ind,6-24,-18.32,94.5,112.8,64.9,-0.035,-5.2,101.7,106.9,-4.37
320,Longwood,ind,9-22,-18.65,91.4,110.1,69.2,0.026,-5.02,100.9,105.9,-2.67
321,Texas Southern,SWAC,14-17,-18.84,89.5,108.4,69.3,0.09,-11.39,95.6,107,11.59
322,Norfolk St.,MEAC,11-19,-19.14,97.1,116.2,66.4,0.065,-10.08,97.8,107.9,5.19
323,Iona,MAAC,2-28,-19.41,87.7,107.1,65.8,-0.042,-3.74,102.9,106.7,1.96
324,Charleston Southern,BSth,8-22,-19.49,95.6,115.1,64.1,-0.009,-3.23,102.6,105.8,-0.53
325,The Citadel,SC,7-23,-20.18,92.4,112.6,59.7,0.034,0.93,104.9,103.9,11.73
326,Savannah St.,ind,12-18,-20.39,88,108.4,64.1,0.101,-5.05,100.4,105.5,-3.5
327,Denver,SB,4-25,-21.35,93.2,114.6,66.3,-0.042,-6.59,102.1,108.7,-6.49
328,Alcorn St.,SWAC,11-19,-21.49,91.9,113.4,69.4,0.067,-12.86,95,107.9,-1.81
329,Winston Salem St.,ind,5-24,-21.59,90.1,111.7,68,-0.032,3.01,104.8,101.8,2.73
330,Howard,MEAC,9-22,-22.07,94.7,116.8,64.4,0.054,-11.4,97.6,109,-5.56
331,Alabama A&M,SWAC,10-20,-22.96,83.9,106.9,70.8,-0.041,-13.39,94.4,107.8,2.89
332,Prairie View A&M,SWAC,8-22,-23.69,84.2,107.9,69.6,0.004,-9.88,96.2,106,7.88
333,Bethune Cookman,MEAC,9-21,-24.79,83,107.8,59.9,0.034,-11.31,97.7,109.1,1.17
334,NJIT,ind,5-24,-25.11,85.3,110.4,65.3,0.027,-7.3,100.7,108,-6.55
335,North Florida,ASun,3-26,-26.02,82.6,108.6,62.9,-0.1,-7.22,100.7,108,-2.73
336,Maryland Eastern Shore,MEAC,4-27,-27.18,86.8,114,67.5,-0.094,-10.76,98.1,108.8,0.61
