,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W - L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
59,Michigan 3,B10,22-13,13.53,108.9,95.3,63.1,0.037,7.14,107.8,100.6,-4.86
60,Mississippi 4,SEC,21-13,13.49,112.7,99.2,67.2,0.017,7.75,108.1,100.3,-6.63
61,Davidson 13,SC,29-5,13.32,111.8,98.5,71.9,0.067,-1.7,103.2,104.9,4.64
62,Alabama 5,SEC,20-12,13.04,114.7,101.6,65.3,0.019,8.15,108.3,100.2,-4.84
63,Missouri,B12,18-12,12.78,111.4,98.6,72,-0.054,4.71,105.7,101,-3.93
64,Old Dominion 12,CAA,24-9,12.7,108.6,95.9,65.8,0.013,0.84,105.6,104.8,0.64
65,Wichita St.,MVC,17-14,12.42,111.1,98.7,63.4,-0.071,8.38,109.5,101.1,1.66
66,Stanford 11,P10,18-13,12.37,109.7,97.3,65.9,0.028,9.5,109.2,99.7,-0.33
67,Massachusetts 4,A10,24-9,12.36,109.1,96.8,70.6,0.009,0.96,106.2,105.3,0.17
68,Washington,P10,19-13,12.17,113.2,101,69.2,0.018,6.92,108.2,101.2,-5.49
69,Northern Iowa,MVC,18-13,11.43,109,97.6,61.6,-0.014,8.01,109.7,101.7,0.69
70,Iowa,B10,17-14,11.06,110.6,99.6,66.5,-0.006,7.48,107.2,99.7,-2.56
71,Texas Tech 10,B12,21-13,10.98,112.2,101.3,64.9,0.056,7.79,108.3,100.5,2.29
72,Providence 5,BE,18-13,10.93,111.8,100.8,68.6,-0.024,5.39,107.5,102.1,-5.62
73,Drexel 3,CAA,23-9,10.65,103.5,92.9,64.4,0.051,2.55,106.6,104.1,9.56
74,Oklahoma St. 2,B12,22-13,10.63,109.2,98.6,65.4,0.044,6.66,108.1,101.5,-2.47
75,N.C. State 6,ACC,20-16,10.46,112.2,101.8,66.2,0.048,9.67,109.3,99.7,-7.99
76,Appalachian St. 5,SC,25-8,10.37,111.2,100.8,66.7,0.074,0.67,104.7,104,13.51
77,Santa Clara,WCC,21-10,10.03,106.7,96.7,63.8,0.035,1.46,105.7,104.3,3.12
78,California,P10,16-17,9.99,111.7,101.7,64.5,-0.02,9.68,109.1,99.4,2.24
79,Hawaii,WAC,18-13,9.87,104.5,94.6,69.2,-0.094,1.69,105.3,103.6,1.43
80,San Diego St. 6,MWC,22-11,9.87,104.4,94.6,69,0.052,4.89,108.1,103.2,-1.93
81,Kent St.,MAC,21-11,9.85,105.2,95.3,65.4,0.003,1.8,105.5,103.7,2.48
82,Nebraska,B12,17-14,8.99,109,100,62.2,-0.012,6.8,107.1,100.3,-0.78
83,Evansville,MVC,14-17,8.54,113.2,104.6,64.3,-0.072,6.32,108.4,102.1,-2.78
84,Loyola Chicago,Horz,21-11,8.42,110.3,101.9,65,-0.001,1.02,105.2,104.2,-0.09
85,Auburn,SEC,17-15,8.39,106.9,98.5,70.2,0.009,7.94,109,101.1,-5.97
86,Illinois St.,MVC,15-16,8.38,107.1,98.7,65,-0.061,6.37,107.6,101.3,-3.19
87,Miami OH 14,MAC,18-15,8.38,105.7,97.4,58.1,-0.024,4.09,106.2,102.1,6.44
88,Oral Roberts 14,MCon,23-11,8.36,107.1,98.7,66.5,-0.007,-0.93,104.9,105.8,4.23
89,George Mason,CAA,18-15,7.91,106.5,98.6,60.8,-0.071,1.18,105.1,103.9,4.39
90,Utah St. 6,WAC,23-12,7.82,111.2,103.4,63.5,0.039,2.72,105.4,102.7,0.15
91,Texas A&M Corpus Chris 15,Slnd,26-7,7.76,114.1,106.4,68.1,0.057,-5.12,100.8,105.9,2.12
92,Penn 14,Ivy,22-9,7.69,109.8,102.1,67.9,0.047,-2.74,102.5,105.3,1.14
93,Holy Cross 13,Pat,25-9,7.4,103,95.6,62.5,0.025,-3.7,101.5,105.2,0.98
94,Houston,CUSA,18-15,7.3,107.1,99.8,68.8,-0.023,3.89,105.7,101.8,4.48
95,George Washington 11,A10,23-9,7.28,105,97.7,66.9,0.089,-0.57,104.7,105.3,-5.16
96,New Mexico St. 13,WAC,25-9,7.27,108.3,101.1,69.7,0.035,-0.3,104.2,104.5,-3.75
97,Saint Joseph's,A10,18-14,7.01,109.1,102.1,62.5,-0.043,2.47,106.6,104.1,3.16
98,Bucknell,Pat,22-9,6.83,106.6,99.7,61.3,-0.001,-2.93,101.4,104.3,3.81
99,Hofstra 6,CAA,22-10,6.69,115.2,108.5,64.7,0.053,0.89,103.7,102.8,2.3
100,Wright St. 14,Horz,23-10,6.66,104.5,97.8,63,0.137,0.23,105.7,105.5,-2.57
101,Utah Valley St.,ind,22-7,6.61,109.9,103.2,62.6,-0.01,-8.15,100.7,108.9,-2.42
102,Wake Forest,ACC,15-16,6.5,107.6,101.1,70.7,0.05,10.47,110.6,100.2,-3.05
103,Saint Mary's,WCC,17-15,6.49,106.5,100,65.1,-0.102,1.6,104.2,102.6,4.5
104,North Dakota St.,ind,20-8,6.2,109.6,103.4,67.2,-0.075,-6.87,99.8,106.6,0.89
105,Seton Hall,BE,13-16,6.19,108.5,102.3,70.2,-0.1,5.28,107,101.7,-4.38
106,Fresno St. 5,WAC,22-10,6.18,102.5,96.3,68.7,0.052,-0.26,103.5,103.8,-4.67
107,Baylor,B12,15-16,5.91,111,105.1,67,-0.058,5.37,107.2,101.9,-13.41
108,Colorado St.,MWC,17-13,5.75,108.3,102.6,67.8,0.01,3.89,106.8,102.9,-4.48
109,Miami FL,ACC,12-20,5.73,113.2,107.5,63.4,-0.077,9.02,109.3,100.3,-4.34
110,Drake,MVC,17-15,5.64,113.8,108.2,67.6,0.052,6.22,107.7,101.4,-5.09
111,Toledo 7,MAC,19-13,5.61,105.7,100.1,66.9,0.057,3.39,105.6,102.2,9.18
112,UCF,CUSA,22-9,5.54,109.5,104,63.6,-0.003,-3.89,101.1,105,-10.96
113,Long Beach St. 12,BW,24-8,5.44,112.2,106.8,71,0.11,-3.34,102,105.4,-2.96
114,Boise St.,WAC,17-14,5.37,106.8,101.4,70.5,-0.057,1.45,104.3,102.8,-0.98
115,Tulsa,CUSA,20-11,5.25,101.4,96.2,65.5,-0.02,-1.67,102,103.7,-7.95
116,Western Kentucky,SB,22-11,5.21,112.3,107.1,68.2,-0.016,-3.84,103,106.8,4.41
117,UAB,CUSA,15-16,4.92,102.6,97.7,64,-0.042,3.2,105,101.8,4.65
118,Western Michigan,MAC,16-16,4.75,108.2,103.5,67.6,-0.024,2.96,105.2,102.2,9.34
119,Marist 7,MAAC,25-9,4.56,109.5,104.9,66.5,0.017,-5.33,101.5,106.9,-2.85
120,Saint Louis,A10,20-13,4.39,104.8,100.4,61.8,0.096,3.49,107.2,103.7,5.86
121,Belmont 15,ASun,23-10,4.38,106.6,102.2,66.1,0.022,-6.74,100,106.8,2.22
122,College of Charleston,SC,22-11,4.19,103.8,99.6,65.4,0.032,-2.6,103.2,105.8,-1.77
123,Vermont 7,AE,25-8,4.16,105.5,101.3,66.2,0.055,-5.42,100.9,106.4,-1.39
124,Dayton,A10,19-12,4.12,104.9,100.7,64.4,0.086,1.21,105.7,104.5,-1.02
125,Ohio,MAC,19-13,4.08,109.4,105.3,66.2,0.028,0.73,104.2,103.4,0.42
126,South Carolina,SEC,14-16,3.96,110.3,106.4,61,0.068,9.41,109,99.6,-3.71
127,Southern Miss,CUSA,20-11,3.65,104,100.3,65.2,0.001,-1,101.8,102.8,-9.27
128,Oakland,MCon,19-14,3.45,110.2,106.7,63.9,0.039,0.78,104.9,104.1,7.92
129,St. John's,BE,16-15,3.41,103.3,99.9,63.8,0.039,4.48,106.3,101.8,-8.3
130,Wyoming,MWC,17-15,3.34,109,105.6,68.9,0.055,4.08,107.2,103.1,-2.72
131,Temple,A10,12-18,3.06,110.3,107.2,68.8,-0.123,1.98,105.7,103.7,2.96
132,Sam Houston St.,Slnd,21-10,2.91,106.2,103.3,69.6,0.008,-4.67,101.1,105.7,3.01
133,UTEP,CUSA,14-17,2.68,103.7,101,72.1,-0.137,-1.32,102.5,103.9,-6.61
134,Iowa St.,B12,15-16,2.67,101.4,98.7,63.3,0.038,5.82,107.5,101.7,-5.14
135,Rhode Island,A10,19-14,2.55,113,110.5,67.6,0.066,2.08,105.8,103.7,0.72
136,Northwestern,B10,13-18,2.51,105.5,103,56.9,-0.049,6.48,107.4,101,-6.14
137,Fordham,A10,18-12,2.32,100.8,98.5,62.9,0.053,-0.67,105.4,106.1,0.56
138,Albany 13,AE,23-10,2.25,107.4,105.2,63.7,0.109,-3.47,102.4,105.9,0.94
139,New Mexico,MWC,15-17,2.18,110.7,108.5,65.3,-0.055,2.38,105.6,103.2,-5.36
140,Indiana St.,MVC,13-18,1.94,104.1,102.1,62.5,0.059,9.16,109.2,100,2.02
141,Cincinnati,BE,11-19,1.87,103.7,101.9,64.8,-0.03,6.99,108.8,101.8,-1.24
142,Tulane,CUSA,17-13,1.83,102.8,101,69.8,0.046,-0.23,102.7,102.9,-4.31
143,Arizona St.,P10,8-22,1.83,101.3,99.5,58.5,-0.091,7.9,108.8,100.9,-6.05
144,Green Bay,Horz,18-15,1.74,107.4,105.6,64.2,-0.005,-0.52,104.5,105,-3.45
145,Utah,MWC,11-19,1.63,113.7,112.1,61.2,-0.041,5.65,108,102.3,1.16
146,South Alabama 7,SB,20-12,1.55,104.5,103,64.6,0.017,-4.17,102.8,106.9,1.75
147,Penn St.,B10,11-19,1.38,108.3,106.9,62.9,-0.055,5.65,106.6,101,-10
148,Valparaiso,MCon,16-15,1.32,101.1,99.7,64.4,-0.003,0.23,106.2,106,5.26
149,Siena,MAAC,20-12,1.16,107.1,105.9,68.6,-0.046,-6.99,100.5,107.5,-4.73
150,South Florida,BE,12-18,0.81,102.1,101.3,65.2,-0.064,3.87,105.7,101.9,-9.2
151,Towson,CAA,15-17,0.74,105.5,104.8,64.6,-0.03,-0.58,104.8,105.4,-0.37
152,Illinois Chicago,Horz,14-18,0.71,107,106.3,66.2,-0.027,2.54,106,103.4,4.44
153,UC Santa Barbara,BW,18-11,0.7,105.2,104.5,63.5,0.017,-4.3,102,106.3,-4.24
154,Detroit,Horz,11-19,0.59,107,106.4,61.1,-0.053,3.05,106.2,103.1,4.87
155,Cal Poly,BW,19-11,0.28,108.2,107.9,66.3,0.029,-4.72,102.3,107,-6.11
156,Charlotte,A10,14-16,0.13,106.2,106.1,66.2,0.003,1.31,105.8,104.5,1.94
157,San Francisco,WCC,13-18,-0.15,105.2,105.3,68.3,-0.016,1.98,105.4,103.4,4
158,Idaho St.,BSky,13-17,-0.26,104.7,105,60.2,-0.073,-0.91,105.3,106.2,11.6
