,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,Strength of Schedule,,,NCSOS
,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
,58,UC Santa Barbara 12,BW,22-5,13.63,109.9,96.2,65.6,0.03,1.8,102.8,101,4.03
,59,Louisville,ACC,13-7,13.54,107.7,94.2,65.7,0.118,13.29,109.9,96.6,7.71
,60,Auburn,SEC,13-14,13.2,111.6,98.4,71,-0.044,14.54,109.3,94.7,6.37
,61,Boise St. 2,MWC,19-9,13.13,109.1,96,69.1,-0.026,6.12,105.4,99.3,15.51
,62,Minnesota,B10,14-15,12.97,108.4,95.4,69.9,0.011,17.03,111.4,94.4,0.16
,63,Georgetown 12,BE,13-13,12.91,107.9,95,69.7,0.008,14.96,110.6,95.6,4.64
,64,Michigan St. 11,B10,15-13,12.9,107.1,94.2,68.3,0.09,17.72,112.5,94.8,-1.03
,65,Richmond 2,A10,14-9,12.78,110.9,98.1,68.2,-0.061,9.22,107.2,97.9,10.89
,66,Xavier,BE,13-8,12.73,110.6,97.9,67.9,0.003,10.29,107.9,97.6,2.03
,67,Mississippi St. 4,SEC,18-15,12.37,107.7,95.3,65.8,-0.011,12.31,107.5,95.2,-1.44
,68,Wichita St. 11,Amer,16-6,12.3,109.5,97.2,67,0.089,10.47,106.4,96,13.71
,69,St. John's,BE,16-11,12.26,111.2,98.9,73.4,0.014,11.04,107.6,96.6,-2.94
,70,Davidson 2,A10,13-9,12.11,113.9,101.8,62.5,-0.074,6.91,104.7,97.8,1.16
,71,N.C. State 3,ACC,14-11,12.02,109.4,97.4,67.8,-0.011,10.91,109.1,98.2,-6.18
,72,North Texas 13,CUSA,18-10,11.76,106.7,95,62.7,-0.018,6.35,105,98.6,6.16
,73,Wright St.,Horz,18-6,11.73,108.3,96.6,71.1,-0.078,-3.35,102.7,106,5.39
,74,Toledo 3,MAC,21-9,11.71,114.3,102.6,68.7,-0.024,3.03,104.8,101.7,5.9
,75,Saint Mary's 2,WCC,14-10,11.68,101.8,90.2,62.9,0.037,10.85,108.8,98,2.91
,76,Colorado St. 1,MWC,20-8,11.52,108.1,96.6,69,0.045,5.44,104.3,98.9,2.76
,77,Buffalo 4,MAC,16-9,11.3,107.4,96.1,73.1,-0.098,3.27,105.6,102.3,2.4
,78,Washington St.,P12,14-13,11.1,102.4,91.3,67.6,-0.01,12.08,108.9,96.8,-8.58
,79,Northwestern,B10,9-15,10.97,104.3,93.4,68.4,-0.091,19.18,112.9,93.7,-18.34
,80,Providence,BE,13-13,10.7,107.3,96.6,66.3,0.001,13.51,109.4,95.9,7.01
,81,Ohio 13,MAC,17-8,10.47,111.4,100.9,69.2,0.031,5.23,106.1,100.9,1.2
,82,Louisiana Tech 4,CUSA,24-8,10.46,104.2,93.7,69.4,0.055,3.02,103.2,100.2,-8.57
,83,Marquette,BE,13-14,10.4,107.5,97.1,67.4,-0.007,14.12,109.7,95.6,7.66
,84,Abilene Christian 14,Slnd,24-5,10.11,101.7,91.6,69.3,0.009,-5.43,99.4,104.8,4.93
,85,Notre Dame,ACC,11-15,10.03,113.8,103.7,67.2,-0.029,14.31,110.7,96.4,13.83
,86,Arizona St.,P12,11-14,9.85,108.4,98.5,72.5,0.026,16.04,110.9,94.9,9.16
,87,Dayton 4,A10,14-10,9.69,108.3,98.6,65.5,0.006,8.46,105.1,96.7,4.29
,88,Missouri St.,MVC,17-7,9.32,107.8,98.5,69.1,0.039,3.85,104,100.1,-12.01
,89,Colgate 14,Pat,14-2,9.25,110.3,101,72.2,0.048,-5.8,99.6,105.4,-99
,90,Pepperdine,WCC,15-12,9.04,108.3,99.3,71.4,0.002,9.52,107.1,97.6,9.71
,91,Nevada,MWC,16-10,8.98,108.8,99.9,69.8,-0.012,6.26,104.7,98.5,7.37
,92,Marshall,CUSA,15-7,8.89,109.2,100.3,72.6,-0.068,1.45,102.9,101.4,0.58
,93,San Francisco,WCC,11-14,8.86,106.9,98,67.7,-0.104,8.22,106.8,98.5,5.87
,94,Loyola Marymount,WCC,13-9,8.8,107.8,99,66,0.033,8.41,105.6,97.2,6.76
,95,Georgia,SEC,14-12,8.69,107.9,99.2,73.2,0.048,12.37,107.9,95.5,-6.05
,96,Furman,SC,16-9,8.64,109.8,101.1,67.7,-0.086,2.56,104.3,101.8,2.7
,97,Pittsburgh,ACC,10-12,8.64,108.2,99.5,68.3,-0.068,10.58,108.3,97.7,-4.78
,98,Liberty 13,ASun,23-6,8.6,109.8,101.2,63.1,-0.023,-4.82,99.5,104.3,1.58
,99,Western Kentucky 3,CUSA,21-8,8.57,106.6,98,67.4,0.083,4.32,103.6,99.3,10.37
,100,UCF,Amer,11-12,8.54,106.5,97.9,67.2,0.053,12.76,107.1,94.3,24.7
,101,Winthrop 12,BSth,23-2,8.48,105,96.5,73.1,0.036,-5.62,99.6,105.2,4.18
,102,UAB,CUSA,22-7,8.44,103.5,95,67,0.005,-1.59,100.1,101.7,-12.09
,103,Grand Canyon 15,WAC,17-7,8.32,105.4,97.1,64.9,-0.061,-1.44,102,103.5,2.54
,104,Vanderbilt,SEC,9-16,8.25,108.9,100.6,68.6,-0.128,12.7,107.9,95.2,-3.13
,105,Eastern Washington 14,BSky,16-8,8.19,109.5,101.3,72.2,-0.085,-0.43,102,102.4,21.28
,106,UC Riverside,BW,14-8,8.03,103.6,95.6,66.7,-0.066,0.84,102.6,101.8,0.78
,107,UC Irvine,BW,18-9,7.88,101.3,93.4,67.4,0.031,3.13,103.6,100.5,6.68
,108,UNC Greensboro 13,SC,21-9,7.79,103.6,95.8,68,0.003,1.48,103.8,102.3,-2.78
,109,Nebraska,B10,7-20,7.76,101.8,94.1,71.8,-0.128,18.3,112.4,94.1,5.6
,110,Belmont,OVC,26-4,7.43,109.4,102,70.7,0.05,-5.84,98.9,104.8,-5.87
,111,Rhode Island,A10,10-15,7.21,104.7,97.5,69,-0.109,9.4,106.6,97.2,11.37
,112,Akron,MAC,15-8,7.14,108.6,101.5,68.5,-0.001,4.26,105.8,101.5,20.9
,113,South Dakota St.,Sum,16-7,6.85,111.5,104.6,70.9,0.008,1.43,103.6,102.2,8.01
,114,California,P12,9-20,6.43,105.5,99,64.7,-0.067,15.58,110.7,95.1,3.18
,115,Kent St.,MAC,15-8,6.34,105.8,99.5,69.8,0.023,3.94,106.5,102.6,8.03
,116,Cincinnati,Amer,12-11,6.06,103.6,97.5,70.7,0.115,11.11,107.3,96.2,9.57
,117,Pacific,WCC,9-9,5.48,103.5,98.1,67,0.021,9.97,107.6,97.6,5.11
,118,Massachusetts,A10,8-7,5.4,105.4,100,71.6,-0.057,3.71,103.1,99.3,0.22
,119,Indiana St.,MVC,15-10,5.35,102.6,97.3,66.9,0.079,6.51,105.7,99.2,8.52
,120,Butler,BE,10-15,5.34,102.7,97.4,64.6,0.069,14.5,109.9,95.4,-0.56
,121,Tulsa,Amer,11-12,5.09,102.6,97.5,65.6,-0.024,8.99,105.6,96.7,-3.27
,122,Weber St.,BSky,17-6,4.98,107.7,102.7,71.9,-0.028,-3.07,101,104,6.57
,123,Yale,Ivy,0-0,4.98,107.1,102.1,67.9,0,-99,0,200,-99
,124,South Carolina,SEC,6-15,4.96,103.9,98.9,74.6,-0.055,15.42,109.7,94.2,9.09
,125,Oral Roberts 15,Sum,18-11,4.83,109.3,104.4,71.4,0.023,4.09,105.2,101.1,22.06
