,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
61,Toledo,MAC,25-8,11.29,109.8,98.5,67.8,0.044,0.7,104.9,104.2,-4.05
62,Dayton,A10,21-12,11.27,112.1,100.8,64.7,-0.047,1.24,104.4,103.1,1.49
63,Colorado,P12,23-13,10.75,106.8,96.1,68.1,-0.028,2.29,106,103.7,-4.96
64,Alabama,SEC,18-16,10.68,108.2,97.5,68.7,0.024,10.1,109.7,99.6,3.89
65,Xavier,BE,19-16,10.6,111.1,100.5,65.2,-0.004,7.48,108.7,101.2,1.04
66,Wichita St.,Amer,22-15,10.1,106.6,96.5,68.3,0.036,6.24,107,100.7,3.07
67,San Francisco,WCC,21-10,9.93,112,102.1,66.6,-0.022,-0.52,104.1,104.6,-6.75
68,Missouri,SEC,15-17,9.78,107,97.2,64.8,-0.017,9.53,109.8,100.2,0.39
69,Temple,Amer,23-10,9.72,109.2,99.5,68.9,0.064,4.55,106.3,101.8,-1.07
70,South Carolina,SEC,16-16,9.55,108.1,98.6,70.2,0.022,10.48,109.5,99,2.26
71,Fresno St.,MWC,23-9,9.36,108.4,99,67.9,-0.011,-2.03,103.6,105.6,-5.21
72,Butler,BE,16-17,9.24,111.3,102.1,66,-0.043,7.74,108.6,100.8,3.3
73,UC Irvine,BW,31-6,9.16,107.4,98.2,65.3,0.11,-3.28,102.5,105.8,1.25
74,Northwestern,B10,13-19,9.06,102.9,93.8,66,-0.111,8.94,108.3,99.4,-6.1
75,Miami FL,ACC,14-18,9.03,109.9,100.8,67,-0.072,8.03,108.1,100.1,-3.5
76,Vermont,AE,27-7,8.86,108.5,99.6,65.5,0.043,-5.55,100.7,106.2,3.2
77,Yale,Ivy,22-8,8.79,111.6,102.8,71,0.041,-1.1,103,104.2,-2.09
78,Rutgers,B10,14-17,8.76,105.6,96.8,67.7,-0.02,10.22,109.2,99,-5.1
79,Providence,BE,18-16,8.65,105,96.3,67.9,-0.018,6.14,108.5,102.4,-2.58
80,East Tennessee St.,SC,24-10,8.48,109.9,101.4,67.2,0.011,-1.29,105.4,106.6,-2.21
81,Oregon St.,P12,18-13,8.33,111.7,103.4,65.7,-0.04,3.33,105.5,102.1,-3.48
82,USC,P12,16-17,8.25,109.8,101.5,69.6,-0.096,3.68,105.6,101.9,-2.26
83,Oklahoma St.,B12,12-20,8.16,109.5,101.3,66.1,-0.01,13.12,110.4,97.3,5.41
84,Illinois,B10,12-21,7.97,109.1,101.1,70.6,-0.052,12.16,109.6,97.5,3.39
85,Davidson,A10,24-10,7.78,108.2,100.4,64.7,0.054,0.66,104.6,103.9,2.06
86,BYU,WCC,19-13,7.72,112,104.3,70.9,0.027,2.93,106,103.1,-0.12
87,UNC Greensboro,SC,29-7,7.63,106.4,98.8,67.8,0.167,-0.37,105.7,106,-3.22
88,St. John's,BE,21-13,7.61,108.6,101,70.8,0.06,5,106.9,101.9,-6.49
89,Northeastern,CAA,23-11,7.59,111,103.4,66.2,0.05,-0.63,106.3,106.9,6.45
90,San Diego,WCC,21-15,7.58,105.9,98.3,66.9,-0.006,3.27,106.1,102.8,-0.09
91,Texas A&M,SEC,14-18,7.49,107.2,99.7,67.4,-0.021,9.37,109,99.7,-0.19
92,South Dakota St.,Sum,24-9,7.46,112.7,105.3,71,-0.034,-5.84,102.5,108.3,-4.58
93,Hofstra,CAA,27-8,7.37,116.4,109,67.5,0.017,-5.59,102.4,108,-6.41
94,Arizona,P12,17-15,7.35,105.5,98.2,66.7,-0.013,5.62,107.8,102.2,3.27
95,West Virginia,B12,15-21,7.15,109.8,102.7,70.6,0.018,11.6,109.4,97.8,0.18
96,Northern Kentucky,Horz,26-9,7.14,109.4,102.3,68.2,-0.001,-3.37,103.6,107,-2.57
97,Notre Dame,ACC,14-19,6.95,108,101.1,65.2,-0.055,7.73,108,100.3,-5.59
98,Connecticut,Amer,16-17,6.78,109,102.2,68.6,-0.07,3.79,105.6,101.8,-5.7
99,South Florida,Amer,24-14,6.63,102.6,95.9,67.5,-0.024,0.44,104.9,104.4,-7.43
100,Georgetown,BE,19-14,6.45,108.9,102.5,71.9,0.04,4.98,107.7,102.7,-4.53
101,Pittsburgh,ACC,14-19,6.35,104.9,98.5,67,-0.094,6.77,107.7,101,-9.1
102,UCLA,P12,17-16,6.34,109,102.7,72.5,0.007,5.61,107.8,102.2,3.6
103,Georgia Southern,SB,21-12,6.33,108.5,102.2,73.2,-0.009,0.77,105.5,104.7,4.6
104,Utah Valley,WAC,25-10,6.22,108.5,102.3,68.8,0.037,-2.03,103.9,105.9,-0.24
105,Bowling Green,MAC,22-12,6.04,108.4,102.3,70.5,0.035,1.13,105.3,104.2,-4.56
106,Saint Louis,A10,23-13,6.02,102.2,96.2,66.4,0.044,0.49,104.4,103.9,-1.44
107,SMU,Amer,15-17,5.98,112.7,106.7,65,-0.07,3.48,105.3,101.8,-5.79
108,Akron,MAC,17-16,5.87,100,94.1,66.2,-0.105,1.16,105.4,104.3,-5.43
109,Utah,P12,17-14,5.85,114.8,108.9,66.4,0.031,4.8,106.1,101.3,-0.8
110,Jacksonville St.,OVC,24-9,5.81,105.4,99.6,67.6,0.003,-4.25,102.2,106.5,0.1
111,Grand Canyon,WAC,20-14,5.49,107.6,102.1,67.8,-0.038,-0.81,104.1,104.9,-0.13
112,Stanford,P12,15-16,5.47,103.7,98.2,69.9,-0.027,4.39,106.8,102.4,0.83
113,Old Dominion,CUSA,26-9,5.45,101.4,96,64.5,0.058,-2.15,102.5,104.7,-6.06
114,Harvard,Ivy,19-12,5.32,105.7,100.4,67.3,0.048,2.5,105.4,102.9,3.4
115,Georgia Tech,ACC,14-18,5.26,101.7,96.5,66.8,-0.023,8.04,107.7,99.7,-4.96
116,Western Kentucky,CUSA,20-14,5.2,105.1,99.9,67.7,0,1.26,104.1,102.8,4.87
117,Wright St.,Horz,21-14,5.02,107.1,102,65.2,-0.04,-1.35,105.1,106.5,2.95
118,DePaul,BE,19-17,5.02,111.7,106.7,70.1,-0.018,3.33,105.6,102.3,-8.64
119,Tulsa,Amer,18-14,4.94,105.4,100.4,68.8,0.04,3.45,105.8,102.4,-2.97
120,Southern Miss,CUSA,20-13,4.93,107.1,102.2,64.8,-0.005,0.02,103.4,103.4,2.48
121,St. Bonaventure,A10,18-16,4.92,102.1,97.2,64,-0.044,-0.36,103.4,103.8,-1.25
122,Radford,BSth,22-11,4.88,109.3,104.4,64.4,-0.007,-0.84,104.5,105.3,6.99
123,Charleston,CAA,24-9,4.87,108.5,103.7,65.4,0.019,-3.87,104.9,108.8,0.03
124,Georgia St.,SB,24-10,4.85,107.7,102.8,70,0.143,1.09,105.2,104.1,3.5
125,San Diego St.,MWC,21-13,4.83,103.9,99,66.7,0.056,1.2,105.3,104.1,-0.94
126,Colgate,Pat,24-11,4.6,110.5,105.9,66.4,0.012,-3.83,102.4,106.3,0.84
127,Boston College,ACC,14-17,4.52,107.2,102.7,67.3,0.019,6.58,107.3,100.7,-6.95
128,Austin Peay,OVC,22-11,4.29,111.1,106.8,69,-0.009,-3.6,103.3,106.9,1.4
129,Central Michigan,MAC,23-12,4.27,110.4,106.1,71.3,0.022,-0.39,103.7,104.1,-10.08
130,Penn,Ivy,19-12,4.21,104.1,99.9,66.9,0.02,0.03,103.6,103.5,0.37
131,Loyola Chicago,MVC,20-14,4.18,104.2,100,62.7,-0.019,-1.58,102.5,104.1,-1.81
132,Georgia,SEC,11-21,4.13,106.1,102,68.4,-0.077,8.92,109.1,100.1,-1.7
133,Ball St.,MAC,16-17,3.91,102.5,98.6,70.3,-0.088,1.65,105,103.4,-0.54
134,Loyola Marymount,WCC,22-12,3.84,103.6,99.8,62.7,0.066,0.1,104.3,104.2,-5.47
135,Drake,MVC,24-10,3.76,106.5,102.8,69.3,0.081,-1.58,102.4,104,0.47
136,Northern Illinois,MAC,17-17,3.72,109,105.3,65.9,-0.071,1.49,104.7,103.2,-2.13
137,Montana,BSky,26-9,3.53,107.4,103.9,66.9,0.059,-6.07,102.4,108.4,4.03
138,Texas St.,SB,24-10,3.53,102.4,98.8,65.1,0.022,-3.08,103.4,106.5,-5.93
139,Boise St.,MWC,13-20,3.13,107.4,104.2,65.5,-0.192,0.09,104,103.9,0.47
140,Louisiana Monroe,SB,19-16,2.9,112.5,109.6,66.3,-0.057,-2.39,103.4,105.8,-4.02
141,Louisiana Tech,CUSA,20-13,2.88,105,102.1,65.4,-0.046,-2.19,102.1,104.3,-4.19
142,Rhode Island,A10,18-15,2.44,103.8,101.4,67.5,0.018,0.51,103.1,102.6,-2.15
143,Kent St.,MAC,22-11,2.38,109.9,107.5,67.5,0.129,1.25,104.8,103.5,-4.15
144,Samford,SC,17-16,1.88,106.6,104.7,69.2,-0.076,-2.24,104.6,106.8,-6.13
145,Bucknell,Pat,21-12,1.85,105.8,103.9,70.7,0.052,-3.13,103.3,106.4,2.68
146,Southern Illinois,MVC,17-15,1.79,104.6,102.8,65.8,-0.01,-1.12,103,104.1,0.46
147,UAB,CUSA,20-15,1.7,107.1,105.4,65.2,-0.021,-1.93,101.7,103.6,-5.23
148,Miami OH,MAC,15-17,1.62,104.8,103.2,66.3,-0.025,3.13,105.7,102.5,-0.36
149,UTSA,CUSA,17-15,1.54,105.8,104.3,72.1,-0.017,0.5,103.2,102.7,4.13
150,UT Arlington,SB,17-16,1.45,101.3,99.9,66.3,0.038,1.15,105,103.9,5.43
151,Pepperdine,WCC,16-18,1.43,107,105.6,70.3,-0.057,-0.19,104.1,104.3,-7
152,Abilene Christian,Slnd,27-7,1.35,103.4,102,66.1,0.123,-8.67,100,108.7,-4.75
153,Brown,Ivy,20-12,1.24,99.6,98.4,71.1,0.027,-2.49,102.5,105,-5.66
154,Coastal Carolina,SB,17-17,1.03,106.8,105.7,69.8,-0.071,-0.98,105.2,106.2,-0.54
155,Vanderbilt,SEC,9-23,0.81,102.2,101.4,67.3,-0.109,9.34,109.3,99.9,-2.95
156,George Mason,A10,18-15,0.56,104.6,104,67.7,0.023,-1.58,102.3,103.8,-3.39
157,Marshall,CUSA,23-14,0.56,106.9,106.3,74.3,0.125,-1.27,103,104.2,1.56
158,North Texas,CUSA,21-12,0.53,99.8,99.3,65.3,-0.007,-3.97,101.1,105.1,-9.49
159,Eastern Michigan,MAC,15-17,0.47,103.4,103,62.9,-0.006,4.92,107.1,102.2,8.22
160,Charleston Southern,BSth,18-16,0.17,101.1,101,69.5,-0.085,-3.22,103.5,106.7,4
161,Bradley,MVC,20-15,0.09,101.5,101.4,65.3,0.035,-1.66,102.6,104.3,-3.94
