,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
258,UMass Lowell,AE,15-17,-7.86,104.5,112.4,69.8,-0.026,-6.57,100.1,106.7,-4.46
259,Youngstown St.,Horz,12-20,-7.97,104.3,112.3,67,-0.004,-1.79,104,105.8,0.28
260,Fordham,A10,12-20,-8,96.7,104.7,65.2,-0.075,-4.76,101.1,105.9,-11.88
261,St. Francis PA,NEC,18-15,-8.04,105.5,113.5,68.4,0.083,-7.34,101.1,108.4,6.49
262,New Orleans,Slnd,19-14,-8.1,97,105.1,68.6,0.077,-7.17,100.8,108,6.43
263,LIU Brooklyn,NEC,16-16,-8.2,98.3,106.5,70.8,-0.013,-8.97,99.8,108.7,-5.97
264,East Carolina,Amer,10-21,-8.24,98.7,106.9,68.1,-0.006,0.74,103.6,102.8,-12.17
265,Delaware,CAA,17-16,-8.28,104.9,113.2,63.3,0.08,-4.86,103.6,108.4,-6.35
266,Chattanooga,SC,12-20,-8.29,101.5,109.7,66.1,0.025,0.34,105.4,105,-2.06
267,Siena,MAAC,17-16,-8.38,100.7,109.1,60.6,0.06,-7.41,100.5,107.9,-1.93
268,Grambling St.,SWAC,17-17,-8.56,95.9,104.4,69.6,-0.044,-9.51,98.2,107.7,3.9
269,Robert Morris,NEC,18-17,-8.72,96.1,104.9,66.3,0.034,-8.21,101.2,109.4,-1.33
270,Loyola MD,Pat,11-21,-8.72,101.8,110.5,68.5,-0.028,-3.65,103.6,107.3,-1.64
271,North Dakota,Sum,12-18,-8.76,97.6,106.3,69.7,-0.046,-3.26,104.9,108.2,1.51
272,UNC Wilmington,CAA,10-23,-9.31,105.4,114.7,69.3,-0.034,-2.17,105.4,107.6,1.74
273,Southern Utah,BSky,17-17,-9.4,96.4,105.8,71.2,0.044,-7.01,102.4,109.4,0.95
274,Sacramento St.,BSky,15-16,-9.44,96.6,106,68.1,-0.011,-7.71,101.7,109.4,-2.45
275,St. Francis NY,NEC,17-16,-9.5,96.1,105.6,68.3,0.045,-8.05,101,109,-3.82
276,Marist,MAAC,12-19,-9.52,100.2,109.8,64.5,-0.054,-7.43,100.2,107.7,-2.95
277,Western Carolina,SC,7-25,-9.58,101.6,111.2,69.5,-0.051,2.11,106.8,104.7,4.68
278,Cleveland St.,Horz,10-21,-9.7,101.9,111.6,69.1,-0.041,-1.93,105.1,107,0.24
279,Albany,AE,12-20,-9.86,98.4,108.3,65.9,-0.066,-7.01,100.2,107.2,-5.46
280,Navy,Pat,12-19,-9.88,97.3,107.2,66.9,0.061,-2.97,103.4,106.3,-1.16
281,Houston Baptist,Slnd,12-18,-9.88,103,112.9,73.9,-0.038,-5.81,101.1,106.9,6.35
282,Canisius,MAAC,15-17,-9.91,101.6,111.5,67.7,0.115,-5.56,100.9,106.4,3.49
283,Tulane,Amer,4-27,-9.99,97.3,107.3,69.7,-0.042,3.75,106,102.3,-3.76
284,North Alabama,ASun,10-22,-10.02,95.3,105.3,68.4,0.006,1.16,104.7,103.5,7.06
285,James Madison,CAA,14-19,-10.03,101.1,111.1,65.2,0.056,-4.09,104.8,108.9,-3.78
286,Portland St.,BSky,16-16,-10.21,101.9,112.1,69.1,0.046,-7.48,101.4,108.8,-1.55
287,Texas A&M Corpus Chris,Slnd,14-18,-10.25,94.6,104.8,64.9,-0.011,-6.16,101.2,107.4,3.4
288,VMI,SC,11-21,-10.3,102.4,112.7,71.6,0.018,1.02,105.9,104.9,-0.65
289,Tennessee Martin,OVC,12-19,-10.35,104.9,115.3,68.5,0.009,-3.28,103.2,106.5,-0.94
290,Oral Roberts,Sum,11-21,-10.54,103.7,114.2,66.9,0.013,-1.3,105.5,106.8,4.08
291,Towson,CAA,10-22,-10.67,100.2,110.9,63.5,-0.049,-4.61,103.9,108.5,-4.29
292,Tennessee St.,OVC,9-21,-10.73,98.9,109.6,69.4,-0.062,-2,103.1,105.1,4.44
293,George Washington,A10,9-24,-10.81,95.4,106.2,67.2,-0.009,-0.58,102.9,103.5,-2.14
294,Western Illinois,Sum,10-21,-10.86,97.6,108.5,67.3,-0.106,-4.66,104.5,109.2,-5.47
295,Monmouth,MAAC,14-21,-10.89,93.2,104.1,67.5,0.047,-5.05,102.5,107.6,3.3
296,Milwaukee,Horz,9-22,-11,98.6,109.6,66.1,0.016,-2.66,103.8,106.5,-2.18
297,Charlotte,CUSA,8-21,-11.16,95.6,106.8,64.5,-0.005,-1.81,102.3,104.1,-0.19
298,Lafayette,Pat,10-20,-11.27,101.6,112.9,68.9,0.004,-4.66,102.4,107.1,-3.86
299,UTEP,CUSA,8-21,-11.31,90.1,101.4,68,-0.086,-2.55,102.2,104.7,-1.81
300,North Carolina A&T,MEAC,19-13,-11.32,96.8,108.1,65.7,0.099,-10.75,97.9,108.7,3.32
301,Fairfield,MAAC,9-22,-11.43,96,107.5,67.8,-0.094,-8.07,99.5,107.5,-3.01
302,Central Arkansas,Slnd,14-19,-11.44,99.9,111.4,70.5,0.019,-4.84,101,105.8,7.72
303,North Carolina Central,MEAC,18-16,-11.55,97.8,109.3,65.3,-0.008,-11.84,97,108.9,1.19
304,Northern Arizona,BSky,10-21,-11.83,100.8,112.6,68.5,-0.036,-6.4,102.2,108.6,-0.02
305,Howard,MEAC,17-17,-11.89,102,113.9,71.3,0.017,-9.37,97.8,107.2,-0.38
306,Bethune Cookman,MEAC,14-17,-11.92,93.6,105.5,72.2,-0.03,-10.94,98.7,109.7,-2
307,Eastern Illinois,OVC,14-18,-11.94,100,112,66.9,0.094,-4.91,102.7,107.6,-4
308,Southeast Missouri St.,OVC,10-21,-12.22,97.8,110,67.6,-0.033,-3.66,103.2,106.8,-3.01
309,Elon,CAA,11-21,-12.41,99,111.4,68,-0.002,-4.37,104.3,108.7,-3.99
310,Nicholls St.,Slnd,14-17,-12.85,98.7,111.6,68.5,-0.005,-7.45,101.2,108.6,3.23
311,Stephen F. Austin,Slnd,14-16,-12.94,95.5,108.4,68.8,0.036,-6.71,101.6,108.3,3.55
312,Denver,Sum,8-22,-13.05,99.9,113,67.1,-0.062,-3.42,103.7,107.1,-1.11
313,Arkansas Pine Bluff,SWAC,13-19,-13.14,96.6,109.7,65.3,0.023,-6.92,99.2,106.1,5.9
314,Wagner,NEC,13-17,-13.51,93.9,107.5,63.8,0.043,-7.24,101.4,108.7,-0.63
315,Niagara,MAAC,13-19,-13.52,101.8,115.3,69.7,0.031,-9.03,98.5,107.5,-7.85
316,Saint Peter's,MAAC,10-22,-13.63,94.7,108.3,63.2,-0.013,-7.49,100.8,108.3,-2.54
317,Wyoming,MWC,8-24,-13.86,95.1,108.9,68.4,0.003,-1.5,104,105.5,-4.27
318,Florida A&M,MEAC,12-19,-13.89,89.4,103.3,64.9,-0.007,-7.17,100,107.1,4.97
319,Jackson St.,SWAC,13-19,-14.4,90.2,104.6,65.1,0.007,-8.62,99.1,107.7,4.97
320,Tennessee Tech,OVC,8-23,-14.87,89.9,104.7,68.3,-0.042,-3.15,104.4,107.5,1.15
321,Central Connecticut,NEC,11-20,-14.89,97.2,112.1,69.1,0.006,-6.28,101.4,107.7,2.69
322,UC Riverside,BW,10-23,-15.09,98.3,113.4,63.3,-0.023,-3.55,102.2,105.8,-2.25
323,Manhattan,MAAC,11-21,-15.15,89.6,104.8,61.8,0.021,-8.07,100.2,108.3,-4.31
324,Mount St. Mary's,NEC,9-22,-15.28,94.8,110.1,67.1,-0.012,-5.56,102.3,107.8,4.78
325,Stetson,ASun,7-24,-15.46,97.9,113.3,68.8,-0.054,-2.89,101.8,104.7,-2.74
326,Portland,WCC,7-25,-15.64,94.6,110.2,66.8,-0.011,-0.17,103.6,103.7,-7.78
327,Bryant,NEC,10-20,-15.64,99.5,115.1,67.6,0.026,-7.78,100.3,108,-2.84
328,Alabama St.,SWAC,12-19,-15.77,95.2,110.9,67.2,0.024,-6.59,99.9,106.5,12.25
329,Idaho St.,BSky,11-19,-16.18,102.2,118.4,66.8,0.067,-5.3,102.5,107.8,7.29
330,SIU Edwardsville,OVC,10-21,-16.21,96.9,113.1,69.7,0.033,-5.03,102.6,107.7,-5.41
331,McNeese St.,Slnd,9-22,-16.74,98.1,114.9,66.3,-0.047,-6.32,101.2,107.5,4.75
332,Binghamton,AE,10-23,-16.74,96.1,112.9,65.8,0.003,-4.87,100.7,105.6,-3.26
333,Morgan St.,MEAC,9-21,-17.85,92.8,110.7,72.1,-0.074,-12.93,97.3,110.2,-0.83
334,Cal Poly,BW,6-23,-17.86,97,114.9,66.2,-0.068,-4.11,101.8,105.9,-2.6
335,Southern,SWAC,7-25,-17.91,94.2,112.1,65.7,-0.082,-6.92,99.8,106.7,7.11
336,USC Upstate,BSth,6-26,-18.1,93.3,111.4,68,-0.049,-3.01,103.6,106.6,-1.56
337,South Carolina St.,MEAC,8-26,-18.5,98.3,116.8,67,-0.037,-7.77,99.2,106.9,6.5
338,Maine,AE,5-27,-18.68,93.3,111.9,64,-0.058,-3.05,102.1,105.1,1.22
339,Kennesaw St.,ASun,6-26,-18.91,92,110.9,68.2,0.04,0.93,104.3,103.3,3.94
340,Savannah St.,MEAC,11-20,-19.45,96.6,116.1,74.9,0.061,-10.05,97.7,107.7,4.58
341,Northwestern St.,Slnd,11-20,-19.81,90.1,110,68.6,0.069,-6.78,100.8,107.6,3.74
342,Coppin St.,MEAC,8-25,-20.33,88.9,109.3,70.2,0.01,-7.78,99.6,107.4,7.64
343,San Jose St.,MWC,4-27,-21.99,92,114,69.3,-0.021,-1.41,103.6,105,-4.97
344,Alabama A&M,SWAC,5-27,-22.17,87,109.1,65.7,-0.044,-8.03,99.3,107.3,0.26
345,New Hampshire,AE,5-24,-23.05,84.4,107.5,65.6,-0.015,-6.31,101.5,107.9,-4.9
346,Incarnate Word,Slnd,6-25,-23.06,97.5,120.6,64.9,-0.066,-5.4,101.3,106.7,4.25
347,UNC Asheville,BSth,4-27,-23.64,93.3,117,61.9,-0.032,-0.79,105.2,106,4.41
348,Idaho,BSky,5-27,-23.78,95.2,118.9,65.4,-0.036,-6.99,102.3,109.3,-3.53
349,Alcorn St.,SWAC,10-21,-24.07,89.3,113.4,65.8,0.031,-7.71,99.1,106.8,8.36
350,Mississippi Valley St.,SWAC,6-26,-24.63,89.9,114.5,69.2,-0.018,-6.27,99.9,106.1,6.46
351,Chicago St.,WAC,3-29,-28.26,90.4,118.6,70.1,-0.012,2.7,105.4,102.7,5.2
352,Delaware St.,MEAC,6-25,-29.31,84.5,113.8,69.7,0.008,-9.71,98.2,107.9,0.84
353,Maryland Eastern Shore,MEAC,7-25,-29.42,85.4,114.8,63.1,0.024,-7.72,99.8,107.5,5.31
